"comm_name","price_usd_mt","species"
"Caspian Sea sprat",308.341184028583,"Clupeonella cultriventris"
"Castaneta",1364.00008146101,"Nemadactylus bergi"
"Chilean jack mackerel",844.64747651004,"Trachurus murphyi"
"Chilean knife shrimp",3634,"Haliporoides diomedeae"
"Chinook salmon",6904.99999320951,"Oncorhynchus tshawytscha"
"Chub mackerel",653.382343916594,"Scomber japonicus"
"Chum salmon",1017.33652582152,"Oncorhynchus keta"
"Cobia",2066.86163563017,"Rachycentron canadum"
"Coho salmon",2591.00002133101,"Oncorhynchus kisutch"
"Common cuttlefish",2646.6401045985,"Sepia officinalis"
"Common dab",1009.49397400385,"Limanda limanda"
"Common dentex",25575.9999578335,"Dentex dentex"
"Common dolphinfish",4140.94915002515,"Coryphaena hippurus"
"Common octopus",4747.07562249735,"Octopus vulgaris"
"Common pandora",7175.47590206851,"Pagellus erythrinus"
"Common shrimp",3521.76646591084,"Crangon crangon"
"Common silverbiddy",1466.00008181581,"Gerres oyena"
"Common sole",14439.8290234923,"Solea solea"
"Common spiny lobster",30716.0995046955,"Palinurus elephas"
"Coney",6070.63624519449,"Cephalopholis fulva"
"Crevalle jack",1389.00113167965,"Caranx hippos"
"Crimson jobfish",7285.99976513031,"Pristipomoides filamentosus"
"Cunene horse mackerel",1570.84962166393,"Trachurus trecae"
"Deepwater rose shrimp",9011.6822009072,"Parapenaeus longirostris"
"Devil anglerfish",2968.47085974994,"Lophius vomerinus"
"Dolly varden",4008.30290561378,"Salvelinus malma"
"Dungeness crab",4709.99997190114,"Metacarcinus magister"
"Dusky grouper",9247.67328217246,"Epinephelus marginatus"
"Eastern Pacific bonito",1662.99999957784,"Sarda chiliensis"
"Eatons skate",1465.98143383081,"Bathyraja eatonii"
"Edible crab",2194.18384393253,"Cancer pagurus"
"Electron subantarctic",1429.5,"Electrona carlsbergi"
"Escolar",2428,"Lepidocybium flavobrunneum"
"European anchovy",910.820863220139,"Engraulis encrasicolus"
"European conger",1959.99921671074,"Conger conger"
"European eel",8473.2710408391,"Anguilla anguilla"
"European flounder",638.271988042975,"Platichthys flesus"
"European hake",3426.84478654181,"Merluccius merluccius"
"European perch",2430.95321433922,"Perca fluviatilis"
"European pilchard",802.27674643124,"Sardina pilchardus"
"European plaice",2065.71720021461,"Pleuronectes platessa"
"European seabass",8395.00012781726,"Dicentrarchus labrax"
"European smelt",268.550437997514,"Osmerus eperlanus"
"European sprat",574.837054130342,"Sprattus sprattus"
"Flathead grey mullet",1771,"Mugil cephalus"
"Fourlined terapon",3330.00018483656,"Pelates quadrilineatus"
"Frigate tuna",1208.4760542112,"Auxis thazard"
"Garfish",814.789565834709,"Belone belone"
"Gazami crab",1588.57614486949,"Portunus trituberculatus"
"Giant catfish",1772.00003477156,"Netuma thalassina"
"Giant trevally",6096.34404642628,"Caranx ignobilis"
"Gilthead seabream",7771.00009494074,"Sparus aurata"
"Golden grey mullet",2914.79426949393,"Chelon auratus"
"Golden redfish",2567.33360005135,"Sebastes norvegicus"
"Great Atlantic scallop",3740.5921286797,"Pecten maximus"
"Great barracuda",3787.9735850566,"Sphyraena barracuda"
"Greater amberjack",1465.99977900233,"Seriola dumerili"
"Green jobfish",7804.99948501706,"Aprion virescens"
"Green tiger prawn",8410.07785482249,"Penaeus semisulcatus"
"Greenland halibut",4088.68029684843,"Reinhardtius hippoglossoides"
"Grey rockcod",6726.98417698602,"Lepidonotothen squamifrons"
"Grey snapper",8648.96666223613,"Lutjanus griseus"
"Gulf menhaden",389.999999924896,"Brevoortia patronus"
"Haddock",1667.69950664565,"Melanogrammus aeglefinus"
"Hapuka",1363.98464529216,"Polyprion oxygeneios"
"Hilsa shad",271.002889568857,"Tenualosa ilisha"
"Humped rockcod",3653.05917060014,"Gobionotothen gibberifrons"
"Indian mackerel",753.104396488466,"Rastrelliger kanagurta"
"Indian oil sardine",421.253665250151,"Sardinella longiceps"
"Indian white prawn",4114.99997597898,"Fenneropenaeus indicus"
"Indo-Pacific sailfish",2596.94575264827,"Istiophorus platypterus"
"Indo-Pacific swamp crab",819.00005996271,"Scylla serrata"
"Inshore sand perch",1369.48768618341,"Diplectrum pacificum"
"Japanese anchovy",637.300392704258,"Engraulis japonicus"
"Japanese flying squid",1013.99198305805,"Todarodes pacificus"
"Japanese jack mackerel",1302.5076864665,"Trachurus japonicus"
"John dory",4755.3870752819,"Zeus faber"
"Jumbo flying squid",740.980352738332,"Dosidicus gigas"
"Kawakawa",2119.61948107978,"Euthynnus affinis"
"King mackerel",1686.46367416842,"Scomberomorus cavalla"
"King soldierbream",3877,"Argyrops spinifer"
"King weakfish",3683.62472531099,"Macrodon ancylodon"
"Knife shrimp",3961,"Haliporoides triarthrus"
"Lane snapper",2847.08387188388,"Lutjanus synagris"
"Largeeye dentex",2788.42243007945,"Dentex macrophthalmus"
"Largehead hairtail",943.458498575284,"Trichiurus lepturus"
"Leerfish",3135.00109061298,"Lichia amia"
"Lesser African threadfin",7807.72016439579,"Galeoides decadactylus"
"Ling",2819.74237003846,"Molva molva"
"Little tunny",1887.93069170029,"Euthynnus alletteratus"
"Longfinned bullseye",4486.00367580814,"Cookeolus japonicus"
"Longtail southern cod",5497.87829435139,"Patagonotothen ramsayi"
"Longtail tuna",2834.58459358737,"Thunnus tonggol"
"Lumpfish",2931.60308042093,"Cyclopterus lumpus"
"Lumptail searobin",1466.00230390992,"Prionotus stephanophrys"
"Mackerel icefish",4374.24481257124,"Champsocephalus gunnari"
"Mackerel scad",3872.4836196757,"Decapterus macarellus"
"Madeiran sardinella",873.453650962068,"Sardinella maderensis"
"Malabar blood snapper",3144.99999097775,"Lutjanus malabaricus"
"Mango tilapia",1466.00003707737,"Sarotherodon galilaeus"
"Marbled rockcod",3552.42103757001,"Notothenia rossii"
"Marine crabs, shrimps, lobsters nei",1158.49068028283,"Miscellaneous marine crustaceans"
"Mbizi croaker",1466.00002940657,"Pentheroscion mbizi"
"Mediterranean horse mackerel",2501.61850514026,"Trachurus mediterraneus"
"Mediterranean mussel",3052.35407615477,"Mytilus galloprovincialis"
"Mote sculpin",2062,"Normanichthys crockeri"
"Muksun",1465.99927857496,"Coregonus muksun"
"Mutton snapper",2193.99971679848,"Lutjanus analis"
"Narrowbarred Spanish mackerel",4279.51459494911,"Scomberomorus commerson"
"Nassau grouper",15339.1822461257,"Epinephelus striatus"
"North Pacific hake",171.000000041393,"Merluccius productus"
"Northern brown shrimp",2797.34850528775,"Farfantepenaeus aztecus"
"Northern pike",2139.75264973146,"Esox lucius"
"Northern pink shrimp",2506.45104498301,"Farfantepenaeus duorarum"
"Northern prawn",2739.22076838785,"Pandalus borealis"
"Northern quahog",15373.9999483929,"Mercenaria mercenaria"
"Northern white shrimp",4220.00001547787,"Litopenaeus setiferus"
"Norway lobster",8266.62501866227,"Nephrops norvegicus"
"Norway pout",1408.11810925489,"Trisopterus esmarkii"
"Ocean quahog",1391.00000204032,"Arctica islandica"
"Old parrotfish",6677.00002045004,"Sparisoma cretense"
"Orange roughy",4808.32647726542,"Hoplostethus atlanticus"
"Oval flounder",1465.99860047885,"Syacium ovale"
"Pacific anchoveta",586.781970275847,"Cetengraulis mysticetus"
"Pacific bluefin tuna",5619.40214938533,"Thunnus orientalis"
"Pacific cod",533.516332658396,"Gadus macrocephalus"
"Pacific cornetfish",1699.99996440881,"Fistularia corneta"
"Pacific cupped oyster",8404.00001755617,"Crassostrea gigas"
"Pacific halibut",8843.00006585955,"Hippoglossus stenolepis"
"Pacific herring",305.808892009189,"Clupea pallasii pallasii"
"Pacific sardine",262.565260447556,"Sardinops sagax"
"Pacific saury",2926.41571410022,"Cololabis saira"
"Pacific thread herring",527.886930427337,"Opisthonema libertate"
"Patagonean scallop",1871.00000661244,"Zygochlamys patagonica"
"Patagonian grenadier",1412.77425197287,"Macruronus magellanicus"
"Patagonian rockcod",4836.53010348072,"Patagonotothen brevicauda brevicauda"
"Patagonian squid",5698.34965447825,"Doryteuthis gahi"
"Patagonian toothfish",9579.35958201057,"Dissostichus eleginoides"
"Peruvian calico scallop",16719.9999985333,"Argopecten purpuratus"
"Picarel",1877.19658741966,"Spicara smaris"
"Pike-perch",6958.36440930791,"Sander lucioperca"
"Piked dogfish",1084.13196810397,"Squalus acanthias"
"Pink conch",1545.75385950746,"Lobatus gigas"
"Pink cusk-eel",1182.999997093,"Genypterus blacodes"
"Pink salmon",610.729122129265,"Oncorhynchus gorbuscha"
"Plesionika trispinus",1466.00038113005,"Plesionika trispinus"
"Polar cod",1008.00000806452,"Boreogadus saida"
"Queen snapper",3084.99916125218,"Etelis oculatus"
"Rainbow runner",4044.58420183211,"Elagatis bipinnulata"
"Red grouper",4592.99448550861,"Epinephelus morio"
"Red hind",3805.91442132502,"Epinephelus guttatus"
"Red mullet",5561.05135854729,"Mullus barbatus barbatus"
"Red pandora",2666.11306158232,"Pagellus bellottii"
"Red porgy",9008.09928572052,"Pagrus pagrus"
"Redband parrotfish",2977.98986392797,"Sparisoma aurofrenatum"
"Redspotted shrimp",3381.35435562118,"Farfantepenaeus brasiliensis"
"Ridge scaled rattail",449.061889398214,"Macrourus carinatus"
"Rock hind",9569.11369243991,"Epinephelus adscensionis"
"Round sardinella",607.079944738375,"Sardinella aurita"
"Round scad",1257.00010542174,"Decapterus punctatus"
"Saffron cod",1574.00701454234,"Eleginus gracilis"
"Saithe",1868.7141403146,"Pollachius virens"
"Salema",744.999988440258,"Sarpa salpa"
"Sardine cisco",1468.79900176884,"Coregonus sardinella"
"Serra Spanish mackerel",3287.52941176471,"Scomberomorus brasiliensis"
"Sheefish",2385.12919037059,"Stenodus leucichthys"
"Short mackerel",961.410221801544,"Rastrelliger brachysoma"
"Shortfin mako",2906.23177348723,"Isurus oxyrinchus"
"Shortfin scad",1595.99999936025,"Decapterus macrosoma"
"Shorthead lizardfish",1466.00031502406,"Synodus scituliceps"
"Silk snapper",5987.0564951178,"Lutjanus vivanus"
"Silky shark",778.836512782125,"Carcharhinus falciformis"
"Silver pomfret",970.131382316986,"Pampus argenteus"
"Silver seabream",5630.35649128574,"Pagrus auratus"
"Skipjack tuna",1746.52517105237,"Katsuwonus pelamis"
"Sky emperor",4521.19675725344,"Lethrinus mahsena"
"Smalleye croaker",1465.99972197906,"Nebris microps"
"Snoek",816.459027987495,"Thyrsites atun"
"Sockeye salmon",2447.75123491376,"Oncorhynchus nerka"
"South Georgia icefish",1332.02908347744,"Pseudochaenichthys georgianus"
"South Pacific hake",906.874320657641,"Merluccius gayi gayi"
"Southern African anchovy",390.209494756813,"Engraulis capensis"
"Southern blue whiting",369.763724452078,"Micromesistius australis"
"Southern bluefin tuna",4441.88376587639,"Thunnus maccoyii"
"Southern brown shrimp",3806.2242474883,"Farfantepenaeus subtilis"
"Southern red snapper",5130.96250679358,"Lutjanus purpureus"
"Southern white shrimp",2031.39163986859,"Litopenaeus schmitti"
"Spangled emperor",4530.30104932569,"Lethrinus nebulosus"
"Spottail mantis squillid",7409.00125580701,"Squilla mantis"
"Spotted rose snapper",2259.00014898444,"Lutjanus guttatus"
"Squilla biformis",1466.00011429655,"Squilla biformis"
"Striped marlin",1552.01706520228,"Kajikia audax"
"Striped piggy",1588.75992278932,"Pomadasys stridens"
"Striped venus",1649.00062478301,"Chamelea gallina"
"Stripped weakfish",3328.21982883894,"Cynoscion guatucupa"
"Surmullet",5954.82604305513,"Mullus surmuletus"
"Swordfish",6478.36115527132,"Xiphias gladius"
"Thumbprint emperor",3388.25550510904,"Lethrinus harak"
"Toadfish",1466.00001389139,"Porichthys porosissimus"
"Toothed flounder",1465.99832237895,"Cyclopsetta querna"
"Torroto grunt",1465.99979219522,"Genyatremus luteus"
"Tripletail",4045.99940554347,"Lobotes surinamensis"
"Turbot",8381.98246294571,"Scophthalmus maximus"
"Two-spot red snapper",6171.98640902089,"Lutjanus bohar"
"Vermilion snapper",3369.38258549446,"Rhomboplites aurorubens"
"Wahoo",4759.18118061663,"Acanthocybium solandri"
"West African ilisha",242.640135731776,"Ilisha africana"
"West African Spanish mackerel",1789.74356287748,"Scomberomorus tritor"
"Western white shrimp",2865.82572525141,"Litopenaeus occidentalis"
"White seabream",6557.99412805659,"Diplodus sargus"
"Whiteheads round herring",465,"Etrumeus whiteheadi"
"Whiteleg shrimp",2140.00074803458,"Litopenaeus vannamei"
"Whitemouth croaker",1449.81208980429,"Micropogonias furnieri"
"Whiting",1258.47407428614,"Merlangius merlangus"
"Whitson's grenadier",695.974465148378,"Macrourus whitsoni"
"Witch flounder",2911.03825896431,"Glyptocephalus cynoglossus"
"Wreckfish",14300.9892199104,"Polyprion americanus"
"Yellow croaker",2348.99976634515,"Larimichthys polyactis"
"Yellow goatfish",3403.99876921211,"Mulloidichthys martinicus"
"Yellowfin surgeonfish",2362.000653802,"Acanthurus xanthopterus"
"Yellowfin tuna",2291.03179481042,"Thunnus albacares"
"Yellowlip emperor",6971.97690176425,"Lethrinus xanthochilus"
"Yellowstripe scad",1607.07768198537,"Selaroides leptolepis"
"Yellowtail amberjack",8061.21091753413,"Seriola lalandi"
"Yellowtail snapper",4677.7319112662,"Ocyurus chrysurus"
