"class","isscaap","order","family","genus","species","comm_name","fao","gentry","feed_group","feed_group_long","fcr","fm_perc","fo_perc","fmfo_perc","harvest_kg_m3","harvest_cm_ft","fish_juv_m3","bivalve_juv_ft","nstocked","harvest_linf_prop","harvest_cm","harvest_g","harvest_yr","prod_mt_yr","edible_mt_yr","revenue_usd_yr","price_usd_mt_isscaap","price_usd_mt_spp","a","a_source","b","b_source","linf_cm","linf_source","k","k_source","sst_c_min_froehlich","sst_c_max_froehlich","sst_c_min","sst_c_q10","sst_c_q90","sst_c_max","sal_psu_min","sal_psu_q10","sal_psu_q90","sal_psu_max"
"Bivalvia","Clams, cockles, arkshells","Arcoida","Arcidae","Tegillarca","Tegillarca granosa","Blood cockle",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,163.780334966389,214934822.790537,0.67,2.44229565217391,5.16613865308615,0.614143554046171,1808.01880699856,307.363197189756,11535796.1544419,6380.35185795006,2249.47458460253,0.40404,"FB species-average",2.85391111111111,"FB species-average",3.64521739130435,"FB species-average",1.80521739130435,"FB species-average",25,32.8,13.45,20.48,29.08,33.28,27.5,31.6,35.52,37.04
"Bivalvia","Clams, cockles, arkshells","Veneroida","Cardiidae","Cerastoderma","Cerastoderma edule","Common edible cockle",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,182.01674554059,238867120.132008,0.67,2.1976,6.85704974096049,1.91148728365795,856.884447115295,145.6703560096,5467224.27420058,6380.35185795006,3906.73343862186,1.157,"FB species-average",2.26,"FB species-average",3.28,"FB species-average",0.58,"FB species-average",6.8,12,5.95,8.88,18.62,22.88,5.05,23.54,36.41,39.22
"Bivalvia","Clams, cockles, arkshells","Veneroida","Cardiidae","Cerastoderma","Cerastoderma glaucum","Olive green cockle",TRUE,FALSE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,166.826078252552,218931861.223822,0.67,2.39770666666667,5.43515005252239,2.14579862810634,554.538297044017,94.2715104974829,3538149.45384925,6380.35185795006,3306.96202531646,0.50051,"FB species-average",2.72725,"FB species-average",3.57866666666667,"FB species-average",0.516666666666667,"FB species-average",NA,NA,-1.44,8.63,19.83,29.15,3.49,6.27,37.93,39.25
"Bivalvia","Clams, cockles, arkshells","Veneroida","Cardiidae","Tridacna","Tridacna crocea","Crocus giant clam",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,39.8009950248756,52232276.9355323,0.67,10.05,148.786649121649,6.52154485012712,1191.66020319255,202.582234542734,7603211.39148474,6380.35185795006,4600,0.11665,"FB genus-average",3.09896666666667,"FB genus-average",15,"Gentry et al. 2017",0.17,"Gentry et al. 2017",26.8,28.4,21.42,25.52,29.08,33.28,28.81,31.94,35.04,36.11
"Bivalvia","Clams, cockles, arkshells","Veneroida","Cardiidae","Tridacna","Tridacna derasa","Smooth giant clam",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,12.7268157188901,16701857.8988059,0.67,31.4297,5094.39038516159,10.1712167387304,8365.34964101382,1422.10943897235,53373874.1244444,6380.35185795006,3032.00635574327,0.11665,"FB genus-average",3.09896666666667,"FB genus-average",46.91,"FB species-average",0.109,"FB species-average",28.5,28.5,17.99,21.15,29.07,33.27,30.56,33.09,35.54,36.78
"Bivalvia","Clams, cockles, arkshells","Veneroida","Cardiidae","Tridacna","Tridacna maxima","Elongate giant clam",TRUE,FALSE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,32.5082997752864,42661810.7287223,0.67,12.30455,315.429427485109,4.10615786859856,3277.22191018238,557.127724731004,20909828.9035468,6380.35185795006,11011.7032242599,0.11665,"FB species-average",3.14845,"FB species-average",18.365,"FB species-average",0.27,"FB species-average",NA,NA,17.99,24.75,29.05,33.25,28.81,33.2,35.88,39.56
"Bivalvia","Clams, cockles, arkshells","Veneroida","Cardiidae","Tridacna","Tridacna squamosa","Fluted giant clam",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,34.6095608911962,45419371.248289,0.67,11.5575,229.437576669055,5.15657034661215,2020.89950734136,343.552916248032,12894049.9263958,6380.35185795006,4589.89898989899,0.11665,"FB genus-average",3.09896666666667,"FB genus-average",17.25,"FB species-average",0.215,"FB species-average",24.5,28.9,21.42,24.75,29.06,33.26,28.81,32.79,35.56,38.69
"Bivalvia","Freshwater molluscs","Veneroida","Corbiculidae","Polymesoda","Polymesoda expansa","Broad geloina",TRUE,FALSE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,162.940754741576,213833011.471884,0.67,2.45488,5.08053596250988,1.23803754832117,877.506749474503,149.176147410666,1093398.90505866,1246.0290541508,1246.0290541508,0.374,"FB genus-average",2.905,"FB genus-average",3.664,"FB family-average",0.8955,"FB family-average",NA,NA,27.06,27.71,29.59,33.79,25.97,29.56,34.37,38.11
"Bivalvia","Clams, cockles, arkshells","Myoida","Hiatellidae","Panopea","Panopea generosa","Pacific geoduck",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,44.0782143425613,57845425.646406,0.67,9.07477777777775,204.27548308622,4.8530951462522,2434.81776312851,413.919019731846,15534994.0387468,6380.35185795006,31556,0.4399075,"FB family-average",2.78425,"FB family-average",13.5444444444444,"FB species-average",0.228444444444444,"FB species-average",8.5,10.2,6.01,9.91,14.48,17.45,28.13,30.27,33.29,35.03
"Bivalvia","Clams, cockles, arkshells","Veneroida","Mactridae","Mactra","Mactra glabrata","Smooth mactra",FALSE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,21.6309755569976,28387107.0301806,0.67,18.492,1111.62451257311,3.32363576210242,9494.36288284011,1614.04169008282,60577375.8595809,6380.35185795006,NA,0.11685,"FB genus-average",3.14,"FB genus-average",27.6,"Gentry et al. 2017",0.333569230769231,"FB family-average",10,30,5.39,15.99,26.07,30.27,21.03,32.96,36.35,38.13
"Bivalvia","Clams, cockles, arkshells","Veneroida","Mactridae","Mactra","Mactra quadrangularis","Globose clam",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,21.6309755569976,28387107.0301806,0.67,18.492,1111.62451257311,3.32363576210242,9494.36288284011,1614.04169008282,60577375.8595809,6380.35185795006,901.076923076923,0.11685,"FB genus-average",3.14,"FB genus-average",27.6,"Gentry et al. 2017",0.333569230769231,"FB family-average",10,30,8.23,13.99,22.16,27.55,28.66,31.13,33.81,35.81
"Bivalvia","Clams, cockles, arkshells","Veneroida","Mactridae","Tresus","Tresus nuttallii","Pacific horse clam",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,26.5339966832504,34821517.9570215,0.67,15.075,640.79243812588,2.35885664791832,9459.39865002622,1608.09777050446,60354291.751785,6380.35185795006,2845,0.201928888888889,"FB family-average",2.97177777777778,"FB family-average",22.5,"Gentry et al. 2017",0.47,"Gentry et al. 2017",2,20,4.55,9.33,17.36,24.51,27.99,30.27,33.5,35.08
