"eez_code","eez_name","eez_type","ter1_code","ter1_name","ter1_iso","ter2_code","ter2_name","ter2_iso","ter3_code","ter3_name","ter3_iso","sov1_code","sov1_name","sov1_iso","sov2_code","sov2_name","sov2_iso","sov3_code","sov3_name","sov3_iso","long_dd","lat_dd","area_sqkm","income_usd_yr","diesel_usd_l","gas_usd_l"
21789,"Jersey Exclusive Economic Zone","200NM",4378,"Jersey","JEY",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-2.19115542792,49.121504151,2269,34170.5625138448,1.49,1.46
8371,"Senegalese Exclusive Economic Zone","200NM",2225,"Senegal","SEN",0,NA,NA,0,NA,NA,2225,"Senegal","SEN",0,NA,NA,0,NA,NA,-18.5035747312,13.6946293156,158936,1159.19918502088,0.97,1.14
8471,"Guinea Bissau Exclusive Economic Zone","200NM",8685,"Guinea-Bissau","GNB",0,NA,NA,0,NA,NA,8685,"Guinea-Bissau","GNB",0,NA,NA,0,NA,NA,-17.5671963259,10.5806587096,107301,612.055229641325,0.857541062801932,0.974311698113208
8472,"Guinean Exclusive Economic Zone","200NM",2122,"Guinea","GIN",0,NA,NA,0,NA,NA,2122,"Guinea","GIN",0,NA,NA,0,NA,NA,-15.6205073648,9.18113919475,102587,688.96706147171,0.9,0.9
8473,"Ivory Coast Exclusive Economic Zone","200NM",2161,"Ivory Coast","CIV",0,NA,NA,0,NA,NA,2161,"Ivory Coast","CIV",0,NA,NA,0,NA,NA,-5.45221251329,3.30891011936,172522,10359.2557180985,0.93,0.93
33185,"Overlapping claim: Trinidad and Tobago / Venezuela / Guyana","Overlapping claim",2124,"Guyana","GUY",2186,"Trinidad and Tobago","TTO",2201,"Venezuela","VEN",2124,"Guyana","GUY",2186,"Trinidad and Tobago","TTO",2201,"Venezuela","VEN",-57.8871156629,10.5653897622,3626,3883.44742089625,0.78,0.9
8391,"Liberian Exclusive Economic Zone","200NM",2105,"Liberia","LBR",0,NA,NA,0,NA,NA,2105,"Liberia","LBR",0,NA,NA,0,NA,NA,-10.1776290674,3.80280296257,252894,337.914056364919,0.83,0.8
21792,"Joint regime area Colombia / Jamaica","Joint regime",8682,"Jamaica","JAM",2175,"Colombia","COL",0,NA,NA,8682,"Jamaica","JAM",2175,"Colombia","COL",0,NA,NA,-79.1457221594,15.470345559,15301,4438.77113452279,0.857541062801932,1.11
48972,"Joint regime area Honduras / Cayman Islands","Joint regime",2103,"Honduras","HND",8638,"Cayman Islands","CYM",0,NA,NA,2103,"Honduras","HND",2208,"United Kingdom","GBR",0,NA,NA,-83.942222222,18.701111111,2082,2095.78750156379,0.8,0.98
48973,"Joint regime area Iceland / Denmark (Faeroe Islands)","Joint regime",3297,"Faeroe","FRO",2129,"Iceland","ISL",0,NA,NA,2157,"Denmark","DNK",2129,"Iceland","ISL",0,NA,NA,-10.9820423174,63.1529839977,1226,48267.1564851588,1.35,1.55
8433,"Venezuelan Exclusive Economic Zone","200NM",2201,"Venezuela","VEN",0,NA,NA,0,NA,NA,2201,"Venezuela","VEN",0,NA,NA,0,NA,NA,-65.914234022,12.7888675475,474350,10359.2557180985,0.857541062801932,8e-05
8427,"Honduran Exclusive Economic Zone","200NM",2103,"Honduras","HND",0,NA,NA,0,NA,NA,2103,"Honduras","HND",0,NA,NA,0,NA,NA,-83.84844835,16.9115353147,209335,2095.78750156379,0.8,0.98
48974,"Joint regime area Ecuador / Colombia","Joint regime",2166,"Ecuador","ECU",2175,"Colombia","COL",0,NA,NA,2166,"Ecuador","ECU",2175,"Colombia","COL",0,NA,NA,-81.4371181585,1.46058328468,18746,5021.30125538899,0.29,0.61
48975,"Joint regime area Iceland / Norway (Jan Mayen)","Joint regime",2129,"Iceland","ISL",5343,"Jan Mayen","SJM",0,NA,NA,2129,"Iceland","ISL",2252,"Norway","NOR",0,NA,NA,-8.50000000001,69.2916666666,45202,59619.5137196759,1.63,1.69
