"","ID","LABEL","sumareafish","fishphiavg"
"1",1,"Australian Tropical Territories",1232895.10278,3.36535797724671
"2",2,"Australian Southern Ocean Territories",892389.725589999,3.44359448771477
"3",3,"New Caledonia",1429227.28729,3.3383612278831
"4",4,"Vanuatu",642600.84031,3.42005821388493
"5",5,"Solomon Islands",1604616.23102,3.54084197573739
"6",6,"Palau",608196.70747,3.53933563724727
"7",7,"Micronesia",3011783.33961999,3.52464614126332
"8",8,"Nauru",310594.3214,3.41928838541605
"9",9,"Marshall Islands",2004162.12524,3.47093785282916
"10",10,"Taiwan",342955.82893,3.47925650667522
"11",11,"Philippines",1831315.3287,3.52550970159529
"12",12,"Australia",6957265.64169999,3.34080652293943
"13",13,"Papua New Guinea",2405182.13298,3.52251420791292
"14",14,"Fiji",1287284.47727,3.40584037219553
"15",15,"Tuvalu",756270.01329,3.53870925951699
"16",16,"South Korea",325427.15205,3.271400193542
"17",17,"North Korea",113994.91015,3.3732114275953
"18",18,"Cambodia",47959.34022,3.54012223784353
"19",19,"Thailand",306288.12841,3.53839935527959
"20",20,"Comoros",165689.3117,3.39211447182081
"21",21,"French Indian Ocean Territories",1006108.6761,3.36575380522072
"22",22,"Seychelles",1340667.82168,3.45824165603645
"23",23,"Mauritius",1280013.46473,3.35439100269932
"24",24,"British Indian Ocean Territory",642742.31329,3.45809570477289
"25",25,"Maldives",921971.55105,3.51751238349171
"26",26,"Sri Lanka",534004.60894,3.49962174320154
"27",27,"Mozambique",575678.00774,3.38562457753972
"28",28,"Madagascar",1205811.76001,3.36983190948234
"29",29,"Kenya",112630.83117,3.38258273835883
"30",30,"Somalia",836296.56231,3.3792685744614
"31",31,"Eritrea",79333.15676,3.4669894137467
"32",32,"Djibouti",7019.50502,3.51109818301101
"33",33,"Yemen",548463.67147,3.38289585566758
"34",34,"Oman",539551.74702,3.36131511483232
"35",35,"Sudan",66880.91465,3.45318568139647
"36",36,"Saudi Arabia",220764.21884,3.48118226005575
"37",37,"Kuwait",11709.07232,3.52193549553368
"38",38,"Bahrain",7664.86633,3.51052218261909
"39",39,"Pakistan",222853.12852,3.35270593744794
"40",40,"United Arab Emirates",53882.86629,3.44874125844286
"41",41,"Cape Verde",800961.50233,3.3184548350369
"42",42,"Belgium",3439.88931,3.31954152782549
"43",43,"Gibraltar",461.09712,3.25584393907157
"44",44,"Tunisia",101526.07553,3.22634814733735
"45",45,"Morocco",274444.48185,3.24642550522007
"46",46,"Western Sahara",301623.88652,3.26765338810936
"47",47,"Mauritania",156519.7667,3.31309050780603
"48",48,"Gambia",22344.87123,3.3520665829522
"49",49,"Senegal",157689.10201,3.34518691614363
"50",50,"Libya",354512.0755,3.27467892183311
"51",51,"Malta",55608.48733,3.24674288286902
"52",52,"Latvia",27730.45066,3.10002652017167
