"","ID","CountryYieldCumSum","CountryAreaCumSum","MaxPhi","averagePhi","averageWeightedPhi","MaxDevPerCountry","MaxProdPerCountry","OnePercentDevPerCountry","ProdPerCountryOnePercent","LABEL","MarFishProdMT","MarMolluscProdMT"
"32",57,102569094.4439,0.63627487126638,1.92750275205164,1.47919000861715,1.4785651064052,74.0645337880746,6202711093.84033,0.740645337880746,102569094.4439,"Georgia",NA,NA
"33",58,115187317.142939,0.594018606272045,2.0383995641514,1.2427797130315,1.24286435720121,2864.29585981101,160839577306.085,28.6429585981101,4347965008.08481,"Ukraine",NA,70
"34",59,118506298.991456,0.685508744319251,1.96946136544541,1.41202639129416,1.41618663471873,358.60419415578,27338131146.4394,3.5860419415578,592582792.970662,"Turkey",110844,NA
"35",63,113796035.043869,0.665106124397427,1.96325223283874,1.78137213772998,1.78249476506918,162.658604075124,21080500502.2251,1.62658604075124,227592070.087738,"Greece",123740,17500
"36",69,219461654.03275,0.844932360494175,2.21384343087231,2.12298069662523,2.12296725376465,9093.91191587198,2031479498861.53,90.9391191587198,22992443698.3498,"Sierra Leone",NA,NA
"37",70,200700159.169663,0.851005001320154,2.15590063740503,2.12203733386416,2.12203794656031,852.221276891132,189993812674.09,8.52221276891132,2003124537.72177,"Liberia",NA,NA
"38",73,152888957.599041,0.852632471811455,1.99141853043766,1.88926659963965,1.88926698869692,2082.63954014731,315198996468.763,20.8263954014731,3495382690.80133,"Republic of the Congo",NA,NA
"39",74,141693934.727913,0.814846581206865,1.97298176306526,1.77597729722477,1.77545091288955,79329.9444929659,9945706112967.93,793.299444929659,114546463071.932,"Namibia",NA,345
"40",75,130084199.840519,0.746221875984003,1.97447612913661,1.80609758198224,1.80594177705311,49230.5944362803,6489288830300.87,492.305944362803,84144470117.3264,"South Africa",50,2205
"41",77,206461604.772791,0.854688008498903,2.1702976111009,2.12334239483991,2.1233423195516,315.387977097257,70484538800.5348,3.15387977097257,619384814.318373,"Equatorial Guinea",NA,NA
"42",80,199439796.896158,0.778074654701934,2.20590117809921,1.93974315536067,1.94033673790196,7434.24725128236,1242059737717.5,74.3424725128236,18087584914.1132,"Bahamas",NA,NA
"43",81,190940245.188395,0.7944916359852,2.16722426116865,1.84939408959451,1.84939788428834,15601.8886125343,2237729266712.78,156.018886125343,35779714378.0811,"Cuba",NA,1519
"44",83,202865382.705963,0.807664063351958,2.19371945454429,2.14015960956459,2.14015752937601,526.799334735067,121132839316.433,5.26799334735067,1217161679.48,"Dominican Republic",350,NA
