"rcp","year","eez_code","eez_name","eez_type","ter1_name","ter1_iso","ter1_continent","sov1_name","sov1_iso","sov1_continent","ncells","area_sqkm","prod_mt","profits_usd"
"RCP 2.6","2021",5686,"Norwegian Exclusive Economic Zone","200NM","Norway","NOR","Europe","Norway","NOR","Europe",5031,503100,808517178.568994,1598564413402.77
"RCP 2.6","2021",5687,"Polish Exclusive Economic Zone","200NM","Poland","POL","Europe","Poland","POL","Europe",149,14900,18744761.2099032,70907330839.668
"RCP 2.6","2021",5688,"Portuguese Exclusive Economic Zone","200NM","Portugal","PRT","Europe","Portugal","PRT","Europe",3171,317100,514463744.397797,2369524519356.91
"RCP 2.6","2021",5689,"Romanian Exclusive economic Zone","200NM","Romania","ROU","Europe","Romania","ROU","Europe",187,18700,23359202.500871,86637909107.8279
"RCP 2.6","2021",5690,"Russian Exclusive economic Zone","200NM","Russia","RUS","Europe","Russia","RUS","Europe",46415,4641500,8775063373.04835,29912833348533.2
"RCP 2.6","2021",5691,"Montenegrin Exclusive economic Zone","200NM","Montenegro","MNE","Europe","Montenegro","MNE","Europe",15,1500,2597209.33295367,10913993968.2194
"RCP 2.6","2021",5693,"Spanish Exclusive Economic Zone","200NM","Spain","ESP","Europe","Spain","ESP","Europe",5552,555200,890215853.291759,4309509317962.52
"RCP 2.6","2021",5694,"Swedish Exclusive Economic Zone","200NM","Sweden","SWE","Europe","Sweden","SWE","Europe",471,47100,61560955.7822245,200567038028.016
"RCP 2.6","2021",5695,"Overlapping claim Ukrainian Exclusive Economic Zone","Overlapping claim","Ukraine","UKR","Europe","Ukraine","UKR","Europe",709,70900,81261867.4940059,337130624204.222
"RCP 2.6","2021",5696,"United Kingdom Exclusive Economic Zone","200NM","United Kingdom","GBR","Europe","United Kingdom","GBR","Europe",6624,662400,1066755737.64644,3326399788114.24
"RCP 2.6","2021",5697,"Turkish Exclusive Economic Zone","200NM","Turkey","TUR","Asia","Turkey","TUR","Asia",2589,258900,283562566.879165,1327063852939.65
"RCP 2.6","2021",8308,"Cocos Islands Exclusive Economic Zone","200NM","Cocos Islands","CCK","Indian Ocean","Australia","AUS","Oceania",4707,470700,763664725.600893,2553118501817.53
"RCP 2.6","2021",8309,"Christmas Island Exclusive Economic Zone","200NM","Christmas Island","CXR","Oceania","Australia","AUS","Oceania",2641,264100,463702564.278817,1171473557940.41
"RCP 2.6","2021",8310,"Norfolk Island Exclusive Economic Zone","200NM","Norfolk Island","NFK","Oceania","Australia","AUS","Oceania",4326,432600,701851200.966531,2309717949970.24
"RCP 2.6","2021",8311,"Australian Exclusive Economic Zone (Macquarie Island)","200NM","Macquarie Island","AUS","Oceania","Australia","AUS","Oceania",3734,373400,636005139.293977,1263487159689.25
"RCP 2.6","2021",8312,"New Caledonian Exclusive Economic Zone","200NM","New Caledonia","NCL","Oceania","France","FRA","Europe",10960,1096000,1901939374.42361,4568634693405.48
"RCP 2.6","2021",8313,"Vanuatu Exclusive Economic Zone","200NM","Vanuatu","VUT","Oceania","Vanuatu","VUT","Oceania",6271,627100,1140864934.05529,4116504832236.04
"RCP 2.6","2021",8314,"Solomon Islands Exclusive Economic Zone","200NM","Solomon Islands","SLB","Oceania","Solomon Islands","SLB","Oceania",16141,1614100,2706113690.73094,12971781467138.4
"RCP 2.6","2021",8315,"Palau Exclusive Economic Zone","200NM","Palau","PLW","Oceania","Palau","PLW","Oceania",6184,618400,1139357515.58677,3630703710622.54
"RCP 2.6","2021",8316,"Micronesian Exclusive Economic Zone","200NM","Micronesia","FSM","Oceania","Micronesia",NA,"Oceania",30331,3033100,5419926791.69313,18284287025348.3
"RCP 2.6","2021",8317,"Nauruan Exclusive Economic Zone","200NM","Nauru","NRU","Oceania","Nauru","NRU","Oceania",3111,311100,504729331.069551,2445216297695.54
"RCP 2.6","2021",8318,"Marshall Islands Exclusive Economic Zone","200NM","Marshall Islands","MHL","Oceania","Marshall Islands","MHL","Oceania",20141,2014100,3371444502.06937,14436473330813
"RCP 2.6","2021",8319,"Wake Island Exclusive Economic Zone","200NM","Wake Island","UMI","Oceania","United States","USA","Americas",4088,408800,663590069.448117,2062033375670.42
"RCP 2.6","2021",8321,"Taiwanese Exclusive Economic Zone","200NM","Taiwan","TWN","Asia","Taiwan","TWN","Asia",3477,347700,565143373.838342,2822103253764.75
"RCP 2.6","2021",8322,"Philippines Exclusive Economic Zone","200NM","Philippines","PHL","Asia","Philippines","PHL","Asia",18333,1833300,3215146276.04709,13925455968599.6
"RCP 2.6","2021",8323,"Australian Exclusive Economic Zone","200NM","Australia","AUS","Oceania","Australia","AUS","Oceania",50578,5057800,8383158510.37545,28690919256471.1
"RCP 2.6","2021",8324,"Papua New Guinean Exclusive Economic Zone","200NM","Papua New Guinea","PNG","Oceania","Papua New Guinea","PNG","Oceania",23451,2345100,4024281241.59121,18010960064479.1
"RCP 2.6","2021",8325,"Fijian Exclusive Economic Zone","200NM","Fiji","FJI","Oceania","Fiji","FJI","Oceania",12900,1290000,2146563168.90842,10614968352836.3
"RCP 2.6","2021",8326,"Tuvaluan Exclusive Economic Zone","200NM","Tuvalu","TUV","Oceania","Tuvalu","TUV","Oceania",7582,758200,1230105364.24601,5766188352152.76
"RCP 2.6","2021",8327,"South Korean Exclusive Economic Zone","200NM","South Korea","KOR","Asia","South Korea","KOR","Asia",3478,347800,550058420.738134,2572231072016.1
"RCP 2.6","2021",8328,"North Korean Exclusive Economic Zone","200NM","North Korea","PRK","Asia","North Korea","PRK","Asia",1079,107900,165555092.156919,670113401452.7
"RCP 2.6","2021",8331,"Cambodian Exclusive Economic Zone","200NM","Cambodia","KHM","Asia","Cambodia","KHM","Asia",482,48200,78199787.0702422,435025847621.524
"RCP 2.6","2021",8332,"Thailand Exclusive Economic Zone","200NM","Thailand","THA","Asia","Thailand","THA","Asia",2179,217900,359660165.083228,1909296417749.53
"RCP 2.6","2021",8333,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","200NM","Andaman and Nicobar","IND","Asia","India","IND","Asia",6666,666600,1081493320.76812,5841970763147.6
"RCP 2.6","2021",8334,"Comoran Exclusive Economic Zone","200NM","Comores","COM","Africa","Comores",NA,"Africa",1654,165400,268345327.415313,1407124242524.78
"RCP 2.6","2021",8337,"Seychellois Exclusive Economic Zone","200NM","Seychelles","SYC","Africa","Seychelles","SYC","Africa",13505,1350500,2191054199.96602,10501390444466.3
"RCP 2.6","2021",8338,"Réunion Exclusive Economic Zone","200NM","Réunion","REU","Africa","France","FRA","Europe",3167,316700,513814783.509247,1992732113863.75
"RCP 2.6","2021",8339,"Juan de Nova Exclusive Economic Zone","200NM","Juan de Nova Island","ATF","Africa","France","FRA","Europe",631,63100,102373580.16872,470351106977.655
"RCP 2.6","2021",8340,"Bassas da India Exclusive Economic Zone","200NM","Bassas da India","ATF","Africa","France","FRA","Europe",471,47100,76415144.6267305,281639133971.34
"RCP 2.6","2021",8341,"Ile Europa Exclusive Economic Zone","200NM","Europa Island","ATF","Africa","France","FRA","Europe",1120,112000,181691851.632398,731972117241.327
"RCP 2.6","2021",8343,"Mauritian Exclusive Economic Zone","200NM","Republic of Mauritius","MUS","Africa","Republic of Mauritius","MUS","Africa",12837,1283700,2082677731.57822,9909632534980.92
"RCP 2.6","2021",8344,"Overlapping claim Chagos Archipelago Exclusive Economic Zone: UK / Mauritius","Overlapping claim","Chagos Archipelago","IOT","Indian Ocean","United Kingdom","GBR","Europe",6416,641600,1040933265.23376,3747312459537.23
"RCP 2.6","2021",8345,"Maldives Exclusive Economic Zone","200NM","Maldives","MDV","Asia","Maldives","MDV","Asia",9296,929600,1508185104.98957,7760897493906.91
"RCP 2.6","2021",8346,"Sri Lankan Exclusive Economic Zone","200NM","Sri Lanka","LKA","Asia","Sri Lanka","LKA","Asia",5304,530400,860522138.216939,4580707011031.34
"RCP 2.6","2021",8347,"Mozambican Exclusive Economic Zone","200NM","Mozambique","MOZ","Africa","Mozambique","MOZ","Africa",3018,301800,486253149.590204,2674365512300.52
"RCP 2.6","2021",8348,"Madagascan Exclusive Economic Zone","200NM","Madagascar","MDG","Africa","Madagascar","MDG","Africa",9748,974800,1599185760.6636,8372085085539.06
"RCP 2.6","2021",8349,"Kenyan Exclusive Economic Zone","200NM","Kenya","KEN","Africa","Kenya","KEN","Africa",742,74200,120382244.825975,638727048452.786
"RCP 2.6","2021",8350,"Somali Exclusive Economic Zone","200NM","Federal Republic of Somalia","SOM","Africa","Federal Republic of Somalia","SOM","Africa",6813,681300,1105342633.42232,5480933366029.15
"RCP 2.6","2021",8353,"Yemeni Exclusive Economic Zone","200NM","Yemen","YEM","Asia","Yemen","YEM","Asia",3872,387200,628194140.116137,3405005360768.82
"RCP 2.6","2021",8354,"Omani Exclusive Economic Zone","200NM","Oman","OMN","Asia","Oman","OMN","Asia",5405,540500,876908400.65282,4572400768309.58
"RCP 2.6","2021",8356,"Saudi Arabian Exclusive Economic Zone","200NM","Saudi Arabia","SAU","Asia","Saudi Arabia","SAU","Asia",517,51700,83087350.1952076,315538272833.744
"RCP 2.6","2021",8359,"Pakistani Exclusive Economic Zone","200NM","Pakistan","PAK","Asia","Pakistan","PAK","Asia",2256,225600,366013941.142047,1996390882397.04
"RCP 2.6","2021",8361,"Portuguese Exclusive Economic Zone (Azores)","200NM","Azores","PRT","Europe","Portugal","PRT","Europe",9632,963200,1554116436.02641,6788167310127.72
"RCP 2.6","2021",8362,"Cape Verdean Exclusive Economic Zone","200NM","Cape Verde","CPV","Africa","Cape Verde","CPV","Africa",8083,808300,1311387715.53686,6891309750778.78
"RCP 2.6","2021",8363,"Portuguese Exclusive Economic Zone (Madeira)","200NM","Madeira","PRT","Europe","Portugal","PRT","Europe",4538,453800,736246128.059667,3337148824915.61
"RCP 2.6","2021",8364,"Spanish Exclusive Economic Zone (Canary Islands)","200NM","Canary Islands","ESP","Europe","Spain","ESP","Europe",4106,410600,666158352.096296,3043303653158.56
"RCP 2.6","2021",8365,"Overlapping claim Gibraltarian Exclusive Economic Zone","Overlapping claim","Gibraltar","GIB","Europe","United Kingdom","GBR","Europe",3,300,486720.666412296,2625879111.86841
"RCP 2.6","2021",8366,"Tunisian Exclusive Economic Zone","200NM","Tunisia","TUN","Africa","Tunisia","TUN","Africa",820,82000,133036982.152694,751362477329.365
"RCP 2.6","2021",8367,"Moroccan Exclusive Economic Zone","200NM","Morocco","MAR","Africa","Morocco","MAR","Africa",1788,178800,290085517.181728,1552283046929.57
"RCP 2.6","2021",8368,"Overlapping claim Western Saharan Exclusive Economic Zone","Overlapping claim","Western Sahara","ESH","Africa","Western Sahara","ESH","Africa",2348,234800,380940041.57869,1924785605731.67
"RCP 2.6","2021",8369,"Mauritanian Exclusive Economic Zone","200NM","Mauritania","MRT","Africa","Mauritania","MRT","Africa",1664,166400,269967729.636687,1437030716129.68
"RCP 2.6","2021",8370,"Gambian Exclusive Economic Zone","200NM","Gambia","GMB","Africa","Gambia","GMB","Africa",246,24600,39911094.6458083,213643080261.209
"RCP 2.6","2021",8371,"Senegalese Exclusive Economic Zone","200NM","Senegal","SEN","Africa","Senegal","SEN","Africa",1215,121500,197121869.89698,1067822614002.71
"RCP 2.6","2021",8372,"Libyan Exclusive Economic Zone","200NM","Libya","LBY","Africa","Libya","LBY","Africa",1886,188600,305985058.951197,1697405799015.94
"RCP 2.6","2021",8373,"Syrian Exclusive Economic Zone","200NM","Syria","SYR","Asia","Syria","SYR","Asia",81,8100,13141457.993132,73378066068.447
"RCP 2.6","2021",8374,"Lebanese Exclusive Economic Zone","200NM","Lebanon","LBN","Asia","Lebanon","LBN","Asia",127,12700,20604508.2114539,114776111415.763
"RCP 2.6","2021",8375,"Israeli Exclusive Economic Zone","200NM","Israel","ISR","Asia","Israel","ISR","Asia",63,6300,10221133.9946582,47335591653.2366
"RCP 2.6","2021",8376,"Cypriote Exclusive Economic Zone","200NM","Cyprus","CYP","Asia","Cyprus","CYP","Asia",986,98600,159968859.027508,820795324463.417
"RCP 2.6","2021",8378,"Algerian Exclusive Economic Zone","200NM","Algeria","DZA","Africa","Algeria","DZA","Africa",962,96200,156075093.69621,884128543792.469
"RCP 2.6","2021",8379,"Ascension Exclusive Economic Zone","200NM","Ascension","ASC","S Atlantic Ocean","United Kingdom","GBR","Europe",4489,448900,827065958.516978,1462140590203.43
"RCP 2.6","2021",8380,"St. Helena Exclusive Economic Zone","200NM","Saint Helena","SHN","Africa","United Kingdom","GBR","Europe",4526,452600,746114633.213282,2372542002412.92
"RCP 2.6","2021",8381,"Brazilian Exclusive Economic Zone (Trindade)","200NM","Trindade","BRA","Americas","Brazil","BRA","Americas",4751,475100,770803295.37494,3683833364482.27
"RCP 2.6","2021",8382,"Tristan Da Cunha Exclusive Economic Zone","200NM","Tristan da Cunha","TAA","S Atlantic Ocean","United Kingdom","GBR","Europe",7589,758900,1235516615.95762,4259108503477.24
"RCP 2.6","2021",8383,"Overlapping claim South Georgia and South Sandwich Exclusive Economic Zone: UK / Argentina","Overlapping claim","South Georgia and the South Sandwich Islands","SGS","S Atlantic Ocean","United Kingdom","GBR","Europe",7740,774000,1521633291.27992,2802128321563.62
"RCP 2.6","2021",8384,"South African Exclusive Economic Zone (Prince Edward Islands)","200NM","Prince Edward Islands","ZAF","Africa","South Africa","ZAF","Africa",4743,474300,779227998.206763,2956156460832.98
"RCP 2.6","2021",8385,"Crozet Islands Exclusive Economic Zone","200NM","Crozet Islands","ATF","Indian Ocean","France","FRA","Europe",5752,575200,983269108.32559,2319779212659.46
"RCP 2.6","2021",8386,"Amsterdam Island & St. Paul Island Exclusive Economic Zone","200NM","Amsterdam and Saint Paul Islands","ATF","Indian Ocean","France","FRA","Europe",5124,512400,831318898.232202,3035971018623.24
"RCP 2.6","2021",8387,"Kerguelen Exclusive Economic Zone","200NM","Kerguélen","ATF","Indian Ocean","France","FRA","Europe",5502,550200,1024158161.35538,2178020523660.8
"RCP 2.6","2021",8388,"Heard and McDonald Islands Exclusive Economic Zone","200NM","Heard and McDonald Islands","HMD","Indian Ocean","Australia","AUS","Oceania",4012,401200,798117311.737535,1328190000015.21
"RCP 2.6","2021",8389,"Overlapping claim Falkland / Malvinas Islands Exclusive Economic Zone: UK / Argentina","Overlapping claim","Falkland / Malvinas Islands","FLK","Americas","United Kingdom","GBR","Europe",5378,537800,1067757458.86702,2135339303491.04
"RCP 2.6","2021",8390,"Sierra Leonian Exclusive Economic Zone","200NM","Sierra Leone","SLE","Africa","Sierra Leone","SLE","Africa",1618,161800,298104860.966913,1007499796240.29
"RCP 2.6","2021",8391,"Liberian Exclusive Economic Zone","200NM","Liberia","LBR","Africa","Liberia","LBR","Africa",2546,254600,469082185.42754,1627043267846.96
"RCP 2.6","2021",8392,"Togolese Exclusive Economic Zone","200NM","Togo","TGO","Africa","Togo","TGO","Africa",156,15600,28741877.8188123,102464388976.087
"RCP 2.6","2021",8393,"Beninese Exclusive Economic Zone","200NM","Benin","BEN","Africa","Benin","BEN","Africa",354,35400,64869912.1616256,235770463804.821
"RCP 2.6","2021",8394,"Congolese Exclusive Economic Zone","200NM","Republic of the Congo","COG","Africa","Republic of the Congo","COG","Africa",100,10000,18424280.6530848,61680297547.1329
"RCP 2.6","2021",8395,"Namibian Exclusive Economic Zone","200NM","Namibia","NAM","Africa","Namibia","NAM","Africa",4012,401200,650907771.215377,3368121381893.35
"RCP 2.6","2021",8396,"South African Exclusive Economic Zone","200NM","South Africa","ZAF","Africa","South Africa","ZAF","Africa",4234,423400,686925100.529887,3385052806347.61
"RCP 2.6","2021",8397,"Sao Tome and Principe Exclusive Economic Zone","200NM","Sao Tome and Principe","STP","Africa","Sao Tome and Principe","STP","Africa",1320,132000,243200504.62072,882462116409.354
"RCP 2.6","2021",8398,"Equatorial Guinean Exclusive Economic Zone","200NM","Equatorial Guinea","GNQ","Africa","Equatorial Guinea","GNQ","Africa",3043,304300,560650860.273371,1880130395822.93
"RCP 2.6","2021",8399,"Bouvet Exclusive Economic Zone","200NM","Bouvet","BVT","S Atlantic Ocean","Norway","NOR","Europe",2733,273300,525479895.791561,634304198376.827
"RCP 2.6","2021",8400,"Ghanaian Exclusive Economic Zone","200NM","Ghana","GHA","Africa","Ghana","GHA","Africa",2285,228500,420994812.922988,1441283264241.59
"RCP 2.6","2021",8401,"Clipperton Exclusive Economic Zone","200NM","Clipperton Island","CPT","Americas","France","FRA","Europe",4385,438500,711423374.072639,2579720489474.32
"RCP 2.6","2021",8402,"Bermudian Exclusive Economic Zone","200NM","Bermuda","BMU","Americas","United Kingdom","GBR","Europe",4543,454300,737057329.170354,2507838888182.06
"RCP 2.6","2021",8403,"Ecuadorian Exclusive Economic Zone (Galapagos)","200NM","Galapagos","ECU","Americas","Ecuador","ECU","Americas",8386,838600,1360546502.84451,7376382878485.49
"RCP 2.6","2021",8404,"Bahamas Exclusive Economic Zone","200NM","Bahamas","BHS","Americas","Bahamas","BHS","Americas",6127,612700,995211978.008897,4773112255013.5
"RCP 2.6","2021",8405,"Turks and Caicos Exclusive Economic Zone","200NM","Turks and Caicos Islands","TCA","Americas","United Kingdom","GBR","Europe",734,73400,119084323.048875,482755869018.47
"RCP 2.6","2021",8406,"Cuban Exclusive Economic Zone","200NM","Cuba","CUB","Americas","Cuba","CUB","Americas",3383,338300,548858671.490933,2996268205502.27
"RCP 2.6","2021",8407,"Cayman Islands Exclusive Economic Zone","200NM","Cayman Islands","CYM","Americas","United Kingdom","GBR","Europe",1191,119100,193228104.565682,913001999731.758
"RCP 2.6","2021",8408,"Haitian Exclusive Economic Zone","200NM","Haiti","HTI","Americas","Haiti","HTI","Americas",967,96700,156886294.806897,882811476690.917
"RCP 2.6","2021",8409,"Dominican Republic Exclusive Economic Zone","200NM","Dominican Republic","DOM","Americas","Dominican Republic","DOM","Americas",2942,294200,477310733.528325,2476560330617.62
"RCP 2.6","2021",8411,"British Virgin Islands Exclusive Economic Zone","200NM","British Virgin Islands","VGB","Americas","United Kingdom","GBR","Europe",819,81900,132874741.930557,497234710564.075
"RCP 2.6","2021",8412,"Anguilla Exclusive Economic Zone","200NM","Anguilla","AIA","Americas","United Kingdom","GBR","Europe",900,90000,146016199.923689,533051985336.522
"RCP 2.6","2021",8413,"Saint Kitts and Nevis Exclusive Economic Zone","200NM","Saint Kitts and Nevis","KNA","Americas","Saint Kitts and Nevis","KNA","Americas",94,9400,15250580.8809186,84471815329.2101
"RCP 2.6","2021",8414,"Antigua and Barbuda Exclusive Economic Zone","200NM","Antigua and Barbuda","ATG","Americas","Antigua and Barbuda","ATG","Americas",1125,112500,182520249.904611,901204086406.653
"RCP 2.6","2021",8415,"Montserrat Exclusive Economic Zone","200NM","Montserrat","MSR","Americas","United Kingdom","GBR","Europe",73,7300,11843536.2160325,60851660970.1313
"RCP 2.6","2021",8416,"Saint Lucia Exclusive Economic Zone","200NM","Saint Lucia","LCA","Americas","Saint Lucia","LCA","Americas",111,11100,18008664.657255,101059704291.131
"RCP 2.6","2021",8417,"Dominican Exclusive Economic Zone","200NM","Dominica","DMA","Americas","Dominica","DMA","Americas",208,20800,33745966.2045859,182512193612.21
"RCP 2.6","2021",8418,"Barbados Exclusive Economic Zone","200NM","Barbados","BRB","Americas","Barbados","BRB","Americas",1824,182400,295926165.178676,1428684186159.99
"RCP 2.6","2021",8420,"Trinidad and Tobago Exclusive Economic Zone","200NM","Trinidad and Tobago","TTO","Americas","Trinidad and Tobago","TTO","Americas",90,9000,14601619.9923689,74353675948.0522
"RCP 2.6","2021",8421,"Saint Vincent and the Grenadines Exclusive Economic Zone","200NM","Saint Vincent and the Grenadines","VCT","Americas","Saint Vincent and the Grenadines","VCT","Americas",62,6200,10058893.7725208,56443088567.9471
"RCP 2.6","2021",8423,"Panamanian Exclusive Economic Zone","200NM","Panama","PAN","Americas","Panama","PAN","Americas",3320,332000,538637537.496274,2856944510553.04
"RCP 2.6","2021",8424,"Costa Rican Exclusive Economic Zone","200NM","Costa Rica","CRI","Americas","Costa Rica","CRI","Americas",5848,584800,948780819.059703,4763058896532.82
"RCP 2.6","2021",8425,"Nicaraguan Exclusive Economic Zone","200NM","Nicaragua","NIC","Americas","Nicaragua","NIC","Americas",1827,182700,296412885.845088,1624534385783.86
"RCP 2.6","2021",8426,"Colombian Exclusive Economic Zone","200NM","Colombia","COL","Americas","Colombia","COL","Americas",3974,397400,644742642.774155,3461738738892.35
"RCP 2.6","2021",8427,"Honduran Exclusive Economic Zone","200NM","Honduras","HND","Americas","Honduras","HND","Americas",1559,155900,252932506.312257,1385021093390.28
"RCP 2.6","2021",8428,"El Salvador Exclusive Economic Zone","200NM","El Salvador","SLV","Americas","El Salvador","SLV","Americas",955,95500,154939412.141248,820350366451.443
"RCP 2.6","2021",8429,"Mexican Exclusive Economic Zone","200NM","Mexico","MEX","Americas","Mexico","MEX","Americas",28747,2874700,4731577612.79451,23495667547077.6
"RCP 2.6","2021",8430,"Guatemalan Exclusive Economic Zone","200NM","Guatemala","GTM","Americas","Guatemala","GTM","Americas",1112,111200,180411127.016824,950280981369.89
"RCP 2.6","2021",8431,"Ecuadorian Exclusive Economic Zone","200NM","Ecuador","ECU","Americas","Ecuador","ECU","Americas",2156,215600,366137839.132612,1750268552872.9
"RCP 2.6","2021",8432,"Peruvian Exclusive Economic Zone","200NM","Peru","PER","Americas","Peru","PER","Americas",3698,369800,620074703.599806,2849893810035.32
"RCP 2.6","2021",8433,"Venezuelan Exclusive Economic Zone","200NM","Venezuela","VEN","Americas","Venezuela","VEN","Americas",393,39300,63760407.3000108,337891628038.761
"RCP 2.6","2021",8435,"Faeroe Exclusive Economic Zone","200NM","Faeroe","FRO","Europe","Denmark","DNK","Europe",1745,174500,321666567.432157,620605013860.134
"RCP 2.6","2021",8437,"Jan Mayen Exclusive Economic Zone","200NM","Jan Mayen","SJM","Europe","Norway","NOR","Europe",1555,155500,279777050.867274,480338928209.355
"RCP 2.6","2021",8438,"Greenlandic Exclusive Economic Zone","200NM","Greenland","GRL","Americas","Denmark","DNK","Europe",11720,1172000,2226398072.2892,4414544097424.27
"RCP 2.6","2021",8439,"Pitcairn Islands Exclusive Economic Zone","200NM","Pitcairn","PCN","Oceania","United Kingdom","GBR","Europe",7873,787300,1277317268.888,3911186382163.99
"RCP 2.6","2021",8440,"French Polynesian Exclusive Economic Zone","200NM","French Polynesia","PYF","Oceania","France","FRA","Europe",47913,4791300,7773415763.27078,31833501867170.3
"RCP 2.6","2021",8441,"Kiribati Exclusive Economic Zone (Line Islands)","200NM","Line Group","KIR","Oceania","Kiribati","KIR","Oceania",16504,1650400,2677612626.15618,13730253709121.4
"RCP 2.6","2021",8442,"Jarvis Island Exclusive Economic Zone","200NM","Jarvis Island","UMI","Oceania","United States","USA","Americas",3259,325900,528740883.945891,1766604467086.38
"RCP 2.6","2021",8443,"Palmyra Atoll Exclusive Economic Zone","200NM","Palmyra Atoll","UMI","Oceania","United States","USA","Americas",3561,356100,577737431.031395,1905418401787.8
"RCP 2.6","2021",8444,"American Samoa Exclusive Economic Zone","200NM","American Samoa","ASM","Oceania","United States","USA","Americas",4084,408400,662589067.209272,2632304438722.19
"RCP 2.6","2021",8445,"Samoan Exclusive Economic Zone","200NM","Samoa","WSM","Oceania","Samoa","WSM","Oceania",1313,131300,213021411.666448,1159025674121.07
"RCP 2.6","2021",8446,"Cook Islands Exclusive Economic Zone","200NM","Cook Islands","COK","Oceania","New Zealand","NZL","Oceania",19795,1979500,3211545197.21047,12022204924729
"RCP 2.6","2021",8447,"Niue Exclusive Economic Zone","200NM","Niue","NIU","Oceania","New Zealand","NZL","Oceania",3194,319400,518195269.506958,2034664823438.56
"RCP 2.6","2021",8448,"Tongan Exclusive Economic Zone","200NM","Tonga","TON","Oceania","Tonga","TON","Oceania",6700,670000,1087625560.68381,5705019933869.82
"RCP 2.6","2021",8449,"Tokelau Exclusive Economic Zone","200NM","Tokelau","TKL","Oceania","New Zealand","NZL","Oceania",3232,323200,524360397.94818,2240441201031.56
"RCP 2.6","2021",8450,"Kiribati Exclusive Economic Zone (Phoenix Islands)","200NM","Phoenix Group","KIR","Oceania","Kiribati","KIR","Oceania",7512,751200,1218748548.69639,6350380383990.49
"RCP 2.6","2021",8451,"Howland and Baker Islands Exclusive Economic Zone","200NM","Howland and Baker islands","UMI","Oceania","United States","USA","Americas",4371,437100,709152010.962715,2236942364808.27
"RCP 2.6","2021",8452,"Johnston Atoll Exclusive Economic Zone","200NM","Johnston Atoll","UMI","Oceania","United States","USA","Americas",4451,445100,722131228.73371,2196035746351.43
