"rcp","mgmt_scenario","feed_scenario","prop2maq","year","catch_mt","catch_ff_mt","catch_ff_mt_maq"
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2033,93636556.3853381,16854580.1493609,3573170.9916645
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2034,94368848.0595615,16986392.6507211,3601115.24195287
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2035,94950730.4353718,17091131.4783669,3623319.87341379
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2036,95404730.2560774,17172851.4460939,3640644.50657191
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2037,95770000.0865668,17238600.015582,3654583.20330339
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2038,96067453.2985478,17292141.5937386,3665934.01787259
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2039,96313388.4531677,17336409.9215702,3675318.90337288
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2040,96520429.7250006,17373677.3505001,3683219.59830602
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2041,96696601.4872707,17405388.2677087,3689942.31275425
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2042,96853745.1392656,17433674.1250678,3695938.91451437
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2043,96997230.8776249,17459501.5579725,3701414.33029017
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2044,97130371.8089403,17483466.9256093,3706494.98822917
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2045,97254712.2004372,17505848.1960787,3711239.81756868
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2046,97366666.790527,17526000.0222949,3715512.00472651
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2047,97467158.4586535,17544088.5225576,3719346.76678222
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2048,97549393.7018519,17558890.8663334,3722484.86366267
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2049,97608582.7327774,17569544.8918999,3724743.51708278
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2050,97641297.828939,17575433.609209,3725991.92515231
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2051,97645374.4657825,17576167.4038409,3726147.48961426
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2052,97627724.9310422,17572990.4875876,3725473.98336857
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2053,97596637.9473266,17567394.8305188,3724287.70406998
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2054,97557625.9741372,17560372.6753447,3722799.00717308
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2055,97514597.4115729,17552627.5340831,3721157.03722562
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2056,97469407.2785448,17544493.3101381,3719432.58174927
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2057,97422594.8364593,17536067.0705627,3717646.21895929
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2058,97372047.781865,17526968.6007357,3715717.34335597
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2059,97318396.2466978,17517311.3244056,3713670.00077399
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2060,97263744.3323481,17507473.9798227,3711584.48372241
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2061,97212486.8521754,17498247.6333916,3709628.49827902
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2062,97166038.7693647,17489886.9784857,3707856.03943896
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2063,97126463.1093979,17482763.3596916,3706345.83225462
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2064,97094866.8462822,17477076.0323308,3705140.11885413
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2065,97071425.5751807,17472856.6035325,3704245.59994889
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2066,97057243.7498015,17470303.8749643,3703704.42149243
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2067,97047095.060666,17468477.1109199,3703317.14751501
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2068,97040239.4639381,17467243.1035089,3703055.53794388
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2069,97035715.7043242,17466428.8267784,3702882.91127701
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2070,97032608.2385822,17465869.4829448,3702764.3303843
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2071,97030422.7536275,17465476.095653,3702680.93227843
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2072,97027556.2446626,17464960.1240393,3702571.54629632
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2073,97024066.8269581,17464332.0288525,3702438.39011673
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2074,97020503.7887395,17463690.6819731,3702302.4245783
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2075,97017803.685026,17463204.6633047,3702199.38862059
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2076,97017595.4974805,17463167.1895465,3702191.44418386
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2077,97021907.6495898,17463943.3769262,3702355.99590834
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2078,97031718.2041214,17465709.2767418,3702730.36666927
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2079,97047124.0560333,17468482.330086,3703318.25397823
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2080,97067534.9381663,17472156.2888699,3704097.13324043
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2081,97091521.2612612,17476473.827027,3705012.45132973
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2082,97116016.7626397,17480883.0172752,3705947.19966234
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2083,97138830.9602209,17484989.5728398,3706817.78944203
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2084,97158562.4673375,17488541.2441208,3707570.7437536
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2085,97174396.1721176,17491391.3109812,3708174.95792801
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2086,97186059.9317074,17493490.7877073,3708620.04699396
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2087,97193976.6541477,17494915.7977466,3708922.14912228
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2088,97198736.3523377,17495772.5434208,3709103.77920521
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2089,97200953.9082603,17496171.7034869,3709188.40113921
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2090,97201315.342066,17496236.7615719,3709202.19345324
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2091,97200710.6040997,17496127.908738,3709179.11665245
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2092,97200427.5143596,17496076.9525847,3709168.31394796
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2093,97201365.8348204,17496245.8502677,3709204.12025675
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2094,97204043.7891291,17496727.8820433,3709306.31099317
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2095,97208655.1583119,17497557.9284962,3709482.28084118
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2096,97215103.3946231,17498718.6110322,3709728.34553882
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2097,97223019.7001145,17500143.5460206,3710030.43175637
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2098,97231962.2587089,17501753.2065676,3710371.67979233
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2099,97241447.8006534,17503460.6041176,3710733.64807293
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2100,97250967.704254,17505174.1867657,3711096.92759433
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2012,77094060.5545275,13876930.899815,2941909.35076077
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2013,83007086.8785703,14941275.6381427,3167550.43528624
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2014,86045650.2717693,15488217.0489185,3283502.01437072
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2015,89772709.9188915,16159087.7854005,3425726.6105049
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2016,90976005.451839,16375680.981331,3471644.36804218
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2017,91909871.669953,16543776.9005915,3507280.70292541
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2018,92517470.906514,16653144.7631725,3530466.68979257
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2019,92798123.9218333,16703662.30593,3541176.40885716
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2020,92774132.9968225,16699343.9394281,3540260.91515875
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2021,91107927.3917367,16399426.9305126,3476678.50926867
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2022,89730400.4483525,16151472.0807035,3424112.08110913
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2023,88548119.1423814,15938661.4456287,3378996.22647328
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2024,87496249.6546602,15749324.9378389,3338856.88682184
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2025,86529214.0757489,15575258.5336348,3301954.80913058
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2026,85319516.8861188,15357513.0395014,3255792.76437429
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2027,84257514.432559,15166352.5978606,3215266.75074645
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2028,83316116.2519635,14996900.9253534,3179342.99617493
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2029,82477109.5209615,14845879.7137731,3147326.49931989
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2030,81727401.8676703,14710932.3361807,3118717.6552703
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2031,80904146.3950503,14562746.3511091,3087302.22643512
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2032,80186410.9942631,14433553.9789674,3059913.44354108
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2033,79553280.165029,14319590.4297052,3035753.17109751
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2034,78986863.8278509,14217635.4890132,3014138.72367079
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2035,78472045.5448485,14124968.1980727,2994493.25799142
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2036,77962580.9155246,14033264.5647944,2975052.08773642
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2037,77502531.5310421,13950455.6755876,2957496.60322457
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2038,77085851.4836621,13875453.2670592,2941596.09261655
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2039,76708251.5158872,13807485.2728597,2927186.87784626
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2040,76366354.8129694,13745943.8663345,2914140.09966291
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2041,76032845.3502915,13685912.1630525,2901413.37856713
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2042,75736515.6253648,13632572.8125657,2890105.43626392
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2043,75473090.1685828,13585156.2303449,2880053.12083312
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2044,75238758.2208387,13542976.479751,2871111.0137072
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2045,75030086.445147,13505415.5601265,2863148.09874681
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2046,74807238.0343824,13465302.8461888,2854644.20339203
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2047,74610890.6721766,13429960.3209918,2847151.58805026
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2048,74433726.5023863,13398070.7704295,2840391.00333106
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2049,74268610.6242997,13368349.9123739,2834090.18142327
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2050,74108775.5546178,13339579.5998312,2827990.87516421
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2051,73946189.0321295,13310314.0257833,2821786.57346606
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2052,73784230.8323516,13281161.5498233,2815606.24856254
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2053,73624138.6197782,13252344.9515601,2809497.12973074
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2054,73467421.3680908,13224135.8462563,2803516.79940634
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2055,73315536.9169651,13196796.6450537,2797720.88875139
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2056,73169192.4171425,13170454.6350856,2792136.38263816
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2057,73029769.2836489,13145358.4710568,2786815.99586404
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2058,72897256.8865723,13121506.239583,2781759.3227916
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2059,72772274.6447268,13099009.4360508,2776990.00044277
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2060,72655874.6791167,13078057.442241,2772548.17775509
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2061,72548498.7776059,13058729.7799691,2768450.71335344
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2062,72450440.8423802,13041079.3516285,2764708.82254523
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2063,72361401.3157192,13025052.2368295,2761311.07420785
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2064,72280851.8144363,13010553.3265985,2758237.30523889
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2065,72207902.3384321,12997422.4209178,2755453.55323457
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2066,72142839.7015293,12985711.1462753,2752970.76301036
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2067,72081780.390423,12974720.4702762,2750640.73969854
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2068,72024170.8962697,12964350.7613286,2748442.36140165
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2069,71969703.2844449,12954546.5912001,2746363.87733442
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2070,71918177.2383029,12945271.9028945,2744397.64341364
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2071,71869777.114508,12936559.8806115,2742550.69468963
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2072,71823251.6429289,12928185.2957272,2740775.28269417
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2073,71778234.5055778,12920082.211004,2739057.42873285
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2074,71734464.3498423,12912203.5829716,2737387.15958998
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2075,71691771.9168425,12904518.9450317,2735758.01634671
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2076,71649339.0843067,12896881.0351752,2734138.77945715
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2077,71609521.0345642,12889713.7862215,2732619.32267897
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2078,71573337.073984,12883200.6733171,2731238.54274323
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2079,71541534.8494968,12877476.2729094,2730024.9698568
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2080,71514677.49519,12872641.9491342,2729000.09321645
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2081,71491434.6322529,12868458.2338055,2728113.14556677
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2082,71472680.5125936,12865082.4922668,2727397.48836057
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2083,71457298.5529875,12862313.7395377,2726810.512782
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2084,71444325.2176859,12859978.5391835,2726315.45030689
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2085,71432920.2921858,12857925.6525934,2725880.23834981
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2086,71422311.3029096,12856016.0345237,2725475.39931903
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2087,71411880.8335085,12854138.5500315,2725077.37260668
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2088,71401209.3965857,12852217.6913854,2724670.15057371
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2089,71389980.5205434,12850196.4936978,2724241.65666394
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2090,71377927.1602262,12848026.8888407,2723781.70043423
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2091,71365018.7165617,12845703.3689811,2723289.11422399
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2092,71351931.258539,12843347.626537,2722789.69682585
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2093,71339240.4550302,12841063.2819054,2722305.41576396
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2094,71327375.1972365,12838927.5355026,2721852.63752654
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2095,71316692.7217674,12837004.6899181,2721444.99426264
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2096,71307448.9658996,12835340.8138619,2721092.25253873
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2097,71299727.2065042,12833950.8971708,2720797.5902002
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2098,71293590.2699275,12832846.248587,2720563.40470044
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2099,71289096.7763333,12832037.41974,2720391.93298488
"RCP 2.6","BAU fisheries management","BAU feed use",0.212,2100,71286291.215371,12831532.4187668,2720284.87277856
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2012,77094060.5545275,13876930.899815,2941909.35076077
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2013,71435095.1969922,12858317.1354586,2725963.23271722
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2014,70655455.2295522,12717981.9413194,2696212.17155971
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2015,70437846.185016,12678812.3133029,2687908.21042021
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2016,70686029.8683197,12723485.3762976,2697378.89977508
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2017,71187245.030006,12813704.1054011,2716505.27034503
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2018,71922332.2079111,12946019.797424,2744556.19705389
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2019,72670212.556832,13080638.2602298,2773095.31116871
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2020,73554549.2048742,13239818.8568774,2806841.597658
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2021,74633314.9909063,13433996.6983631,2848007.30005298
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2022,75942606.4060273,13669669.1530849,2897969.860454
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2023,77518377.0105966,13953307.8619074,2958101.26672436
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2024,79358434.7632792,14284518.2573903,3028317.87056674
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2025,81431427.5390847,14657656.9570353,3107423.27489147
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2026,83667626.4274223,15060172.756936,3192756.62447043
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2027,85971639.1518542,15474895.0473338,3280677.75003476
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2028,88218558.7620583,15879340.5771705,3366420.20236015
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2029,90291053.5766776,16252389.643802,3445506.60448602
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2030,92098516.8273152,16577733.0289167,3514479.40213035
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2031,93589646.1755988,16846136.3116078,3571380.89806085
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2032,94751576.3574302,17055283.7443375,3615720.15379954
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2033,95621781.4514371,17211920.6612587,3648927.18018684
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2034,96255098.0584112,17325917.650514,3673094.54190897
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2035,96715016.2174125,17408702.9191343,3690645.01885646
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2036,97074995.4814646,17473499.1866636,3704381.82757269
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2037,97378188.6801257,17528073.9624226,3715951.6800336
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2038,97654641.6852767,17577835.5033498,3726501.12671016
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2039,97911948.1539664,17624150.667714,3736319.94155536
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2040,98148653.8874626,17666757.6997433,3745352.63234557
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2041,98360998.9910237,17704979.8183843,3753455.72149747
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2042,98528881.467244,17735198.6641039,3759862.11679003
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2043,98650595.0144726,17757107.1026051,3764506.70575227
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2044,98727509.154333,17770951.6477799,3767441.74932935
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2045,98764826.9907008,17777668.8583261,3768865.79796514
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2046,98772887.6840044,17779119.7831208,3769173.39402161
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2047,98755663.6273952,17776019.4529311,3768516.1240214
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2048,98715518.9959336,17768793.419268,3766984.20488482
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2049,98653567.6317059,17757642.1737071,3764620.1408259
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2050,98569224.3651472,17742460.3857265,3761401.60177402
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2051,98459363.7532615,17722685.4755871,3757209.32082446
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2052,98311195.9413701,17696015.2694466,3751555.23712269
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2053,98116558.5453912,17660980.5381704,3744127.87409213
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2054,97866899.0692798,17616041.8324704,3734600.86848372
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2055,97554237.3802477,17559762.7284446,3722669.69843026
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2056,97163557.5733123,17489440.3631962,3707761.3569976
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2057,96742822.1757976,17413707.9916436,3691706.09422844
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2058,96321861.2710226,17337935.0287841,3675642.22610223
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2059,95928701.246632,17267166.2243938,3660639.23957148
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2060,95589189.6167483,17206054.1310147,3647683.47577511
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2061,95325903.3497484,17158662.6029547,3637636.4718264
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2062,95123895.3031558,17122301.154568,3629927.84476843
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2063,94956124.1750337,17092102.3515061,3623525.69851929
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2064,94796058.3585147,17063290.5045327,3617417.58696092
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2065,94617808.4973598,17031205.5295248,3610615.57225925
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2066,94398320.5491851,16991697.6988533,3602239.9121569
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2067,94148438.9992639,16946719.0198675,3592704.43221191
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2068,93888727.4240466,16899970.9363284,3582793.83850162
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2069,93636600.3537923,16854588.0636826,3573172.66950071
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2070,93408565.8018136,16813541.8443265,3564470.87099721
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2071,93218860.3911537,16779394.8704077,3557231.71252643
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2072,93059525.0625401,16750714.5112572,3551151.47638653
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2073,92920535.4039704,16725696.3727147,3545847.63101551
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2074,92793562.9436254,16702841.3298526,3541002.36192875
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2075,92673004.313542,16681140.7764376,3536401.84460477
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2076,92553592.6336004,16659646.6740481,3531845.09489819
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2077,92439720.9791726,16639149.7762511,3527499.75256523
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2078,92333554.3804573,16620039.7884823,3523448.43515825
"RCP 4.5","Reformed fisheries management","BAU feed use",0.212,2079,92236636.221062,16602594.5197912,3519750.03819573
