"level","species_id","species_orig","species","comm_name","type","class","order","family","genus","forage"
"species","14974","Sebastes paucispinis","Sebastes paucispinis","Bocaccio rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14976","Sebastes pinniger","Sebastes pinniger","Canary rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14977","Sebastes polyspinis","Sebastes polyspinis","Northern rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14983","Sebastes ruberrimus","Sebastes ruberrimus","Yelloweye rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14997","Sebastes variabilis","Sebastes variabilis","Dusky rockfish ","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","15007","Sebastolobus alascanus","Sebastolobus alascanus","Shortspine thornyhead","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","not forage fish"
"species","15008","Sebastolobus altivelis","Sebastolobus altivelis","Longspine thornyhead","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","forage fish"
"species","15018","Selar crumenophthalmus","Selar crumenophthalmus","Bigeye scad","fish","Actinopterygii","Perciformes","Carangidae","Selar","not forage fish"
"species","15019","Selaroides leptolepis","Selaroides leptolepis","Yellowstripe scad","fish","Actinopterygii","Perciformes","Carangidae","Selaroides","forage fish"
"species","15024","Selene dorsalis","Selene dorsalis","African moonfish","fish","Actinopterygii","Perciformes","Carangidae","Selene","not forage fish"
"species","15026","Selene peruviana","Selene peruviana","Peruvian moonfish","fish","Actinopterygii","Perciformes","Carangidae","Selene","forage fish"
"species","15027","Selene setapinnis","Selene setapinnis","Atlantic moonfish","fish","Actinopterygii","Perciformes","Carangidae","Selene","not forage fish"
"species","15038","Semicossyphus pulcher","Semicossyphus pulcher","California sheephead","fish","Actinopterygii","Perciformes","Labridae","Semicossyphus","not forage fish"
"species","15063","Sepia officinalis","Sepia officinalis","Common cuttlefish","invert","Cephalopoda","Sepiida","Sepiidae","Sepia","not forage fish"
"species","15095","Sepioteuthis lessoniana","Sepioteuthis lessoniana","Bigfin reef squid","invert","Cephalopoda","Teuthida","Loliginidae","Sepioteuthis","not forage fish"
"species","15114","Seriola dumerili","Seriola dumerili","Greater amberjack","fish","Actinopterygii","Perciformes","Carangidae","Seriola","not forage fish"
"species","15117","Seriola lalandi","Seriola lalandi","Yellowtail amberjack","fish","Actinopterygii","Perciformes","Carangidae","Seriola","not forage fish"
"species","15119","Seriola rivoliana","Seriola rivoliana","Longfin yellowtail","fish","Actinopterygii","Perciformes","Carangidae","Seriola","not forage fish"
"species","15121","Seriolella brama","Seriolella brama","Common warehou","fish","Actinopterygii","Perciformes","Centrolophidae","Seriolella","not forage fish"
"species","15122","Seriolella caerulea","Seriolella caerulea","White warehou","fish","Actinopterygii","Perciformes","Centrolophidae","Seriolella","not forage fish"
"species","15123","Seriolella punctata","Seriolella punctata","Silver warehou","fish","Actinopterygii","Perciformes","Centrolophidae","Seriolella","not forage fish"
"species","15124","Seriolina nigrofasciata","Seriolina nigrofasciata","Blackbanded trevally","fish","Actinopterygii","Perciformes","Carangidae","Seriolina","not forage fish"
"species","15141","Serranus cabrilla","Serranus cabrilla","Comber","fish","Actinopterygii","Perciformes","Serranidae","Serranus","forage fish"
"species","15176","Sicyonia brevirostris","Sicyonia brevirostris","Rock shrimp","invert","Malacostraca","Decapoda","Sicyoniidae","Sicyonia","not forage fish"
"species","15179","Sicyonia ingentis","Sicyonia ingentis","Pacific rock shrimp","invert","Malacostraca","Decapoda","Sicyoniidae","Sicyonia","not forage fish"
