"country_use","iso3_use","major_group","prod_mt","profit_usd"
"Netherlands","NLD","Pisces",56.1538461538462,529318.307692308
"Netherlands Antilles","ANT","Mollusca",0,0
"New Caledonia","NCL","Mollusca",20,345082
"New Caledonia","NCL","Pisces",2.15,20140
"New Zealand","NZL","Mollusca",30712.2233333333,168576796.266667
"New Zealand","NZL","Pisces",11332.6,125854970.2
"Nigeria","NGA","Pisces",0,0
"North Korea","PRK","Mollusca",30330,19760000
"North Korea","PRK","Pisces",33.9285714285714,191071.428571429
"Norway","NOR","Mollusca",734.162625,802217.75
"Norway","NOR","Pisces",219452.984433333,1173280283.36667
"Oman","OMN","Pisces",0,0
"Palau","PLW","Mollusca",1.07539285714286,5653.96428571429
"Palau","PLW","Pisces",17.54,106467.8
"Palestinian Territories","PSE","Pisces",158.75,1702875
"Panama","PAN","Pisces",874.2,9016300
"Papua New Guinea","PNG","Mollusca",0.5015,9585
"Papua New Guinea","PNG","Pisces",0.41,5488.2
"Peru","PER","Mollusca",12765.8392857143,107856735.857143
"Peru","PER","Pisces",2.381,13071.3
"Philippines","PHL","Mollusca",20273.1,4979896.2
"Philippines","PHL","Pisces",24082.8447051282,48242900.974359
"Portugal","PRT","Mollusca",493.507857142857,3325939.81632653
"Portugal","PRT","Pisces",388.586448275862,2794761.48275862
"Puerto Rico","PRI","Mollusca",0,0
"Puerto Rico","PRI","Pisces",0,0
"Qatar","QAT","Pisces",0,0
"Réunion","REU","Pisces",2.22222222222222,24348.4444444444
"Romania","ROU","Mollusca",16.0766666666667,26853.8333333333
"Romania","ROU","Pisces",14.0575,91382.25
"Russia","RUS","Mollusca",553.285714285714,1772940
"Russia","RUS","Pisces",1953.8,7835450
"Samoa","WSM","Mollusca",0,0
"Samoa","WSM","Pisces",2.3465,5050
"Saudi Arabia","SAU","Pisces",906,7023259.05714286
"Senegal","SEN","Mollusca",201.933076923077,723160.384615385
"Senegal","SEN","Pisces",161.685714285714,369314.428571429
"Serbia and Montenegro","SCG","Mollusca",0,0
"Serbia and Montenegro","SCG","Pisces",0,0
"Seychelles","SYC","Mollusca",0.1,12921.3333333333
"Singapore","SGP","Mollusca",271.4008,198096.5
"Singapore","SGP","Pisces",113.651156521739,488420.902173913
"Slovenia","SVN","Mollusca",259.53,188157.7
"Slovenia","SVN","Pisces",48,351652
"South Africa","ZAF","Mollusca",818.738,11404398.05
"South Africa","ZAF","Pisces",90.5,589779
"South Korea","KOR","Mollusca",29892.0508474576,46416322.5084746
"South Korea","KOR","Pisces",4694.52873563218,44732305.5287356
"Spain","ESP","Mollusca",5739.87947340425,4039341.85638298
"Spain","ESP","Pisces",1170.5642242268,8502571.93814433
"Sri Lanka","LKA","Mollusca",12.64,199128.5
"Sri Lanka","LKA","Pisces",17.5454545454545,78177.2727272727
"St. Kitts & Nevis","KNA","Pisces",1,11481
"St. Pierre & Miquelon","SPM","Mollusca",17.5555555555556,149127
"Suriname","SUR","Pisces",2.48,16590.8
"Sweden","SWE","Mollusca",1550.66666666667,1210028.5
"Sweden","SWE","Pisces",1601.875,7234461.25
"Taiwan","TWN","Mollusca",8753.59235111111,34796696.6444444
"Taiwan","TWN","Pisces",3520.04933420635,16545418.3888889
"Tanzania","TZA","Pisces",274.6,933909.8
"Thailand","THA","Mollusca",22704.7656410256,17356491.4871795
"Thailand","THA","Pisces",3329.13793103448,13916429.0344828
"Timor-Leste","TLS","Pisces",5,12500
"Tonga","TON","Mollusca",0.420555555555556,4414.44444444444
"Tunisia","TUN","Mollusca",32.4090909090909,88608.2727272727
"Tunisia","TUN","Pisces",2576.77777777778,14872897.037037
"Turkey","TUR","Mollusca",273.666666666667,409529.333333333
"Turkey","TUR","Pisces",13052.7,66827681.6037736
"Turks & Caicos Islands","TCA","Mollusca",0.5,4500
"Tuvalu","TUV","Pisces",2.5,5000
"Ukraine","UKR","Mollusca",69.9,83880
"Ukraine","UKR","Pisces",211.092307692308,552652.307692308
"Un. Sov. Soc. Rep.","SUN","Mollusca",0,0
"Un. Sov. Soc. Rep.","SUN","Pisces",0,0
"United Arab Emirates","ARE","Mollusca",1,5000
"United Arab Emirates","ARE","Pisces",222.259259259259,1654929.62962963
"United Kingdom","GBR","Mollusca",2287.10853191489,5480713.9787234
"United Kingdom","GBR","Pisces",32759.4807407407,210502456
"United States","USA","Mollusca",11476.9027777778,21035212.6388889
"United States","USA","Pisces",4938.1,23101739
"Vanuatu","VUT","Pisces",2,37582
"Venezuela","VEN","Mollusca",3.6625,5493.75
"Vietnam","VNM","Mollusca",230169.886,230169886
"Vietnam","VNM","Pisces",59411.4505882353,93808936.7058824
"Yugoslavia","YUG","Mollusca",0,0
"Yugoslavia","YUG","Pisces",0,0
"Zanzibar","EAZ","Pisces",6.481,10055.2
