Mapping parameters for Mactra quadrangularis (venus mactra)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Mactra,quadrangularis,26.75,119.75,1211:469:4,0.40
Mactra,quadrangularis,24.25,120.25,1212:140:1,0.52
Mactra,quadrangularis,24.25,120.75,1212:140:2,0.44
Mactra,quadrangularis,25.25,121.75,1212:351:2,0.58
Mactra,quadrangularis,26.75,120.25,1212:360:3,0.48
Mactra,quadrangularis,28.75,122.25,1212:382:3,0.53
Mactra,quadrangularis,30.25,122.75,1312:102:2,0.58
Mactra,quadrangularis,30.75,122.75,1312:102:4,0.51
Mactra,quadrangularis,33.75,127.75,1312:237:4,0.42
Mactra,quadrangularis,34.75,126.75,1312:246:4,0.40
Mactra,quadrangularis,36.25,126.25,1312:466:1,0.57
Mactra,quadrangularis,36.25,126.75,1312:466:2,0.48
Mactra,quadrangularis,37.75,128.75,1312:478:4,0.46
Mactra,quadrangularis,39.25,125.25,1312:495:1,0.47
Mactra,quadrangularis,32.75,133.25,1313:123:3,0.53
Mactra,quadrangularis,33.75,130.25,1313:130:3,0.48
Mactra,quadrangularis,33.25,133.75,1313:133:2,0.54
Mactra,quadrangularis,35.25,139.25,1313:459:1,0.40
Mactra,quadrangularis,39.25,141.75,1314:391:2,0.55
Mactra,quadrangularis,39.75,141.75,1314:391:4,0.59
Mactra,quadrangularis,40.25,128.75,1412:208:2,0.42
Mactra,quadrangularis,42.75,141.75,1414:121:4,0.57
Mactra,quadrangularis,42.25,142.25,1414:122:1,0.44
Mactra,quadrangularis,23.25,116.75,1211:236:2,0.73
Mactra,quadrangularis,23.75,116.75,1211:236:4,0.78
Mactra,quadrangularis,23.25,117.25,1211:237:1,0.73
Mactra,quadrangularis,23.25,117.75,1211:237:2,0.73
Mactra,quadrangularis,23.25,118.25,1211:238:1,0.68
Mactra,quadrangularis,23.75,118.75,1211:238:4,0.69
Mactra,quadrangularis,24.75,119.75,1211:249:4,0.74
Mactra,quadrangularis,25.25,119.25,1211:459:1,0.73
Mactra,quadrangularis,25.75,119.25,1211:459:3,0.68
Mactra,quadrangularis,25.75,119.75,1211:459:4,0.68
Mactra,quadrangularis,24.75,120.25,1212:140:3,0.66
Mactra,quadrangularis,24.75,120.75,1212:140:4,0.60
Mactra,quadrangularis,25.25,120.75,1212:350:2,0.68
Mactra,quadrangularis,25.25,121.25,1212:351:1,0.63
Mactra,quadrangularis,25.75,121.75,1212:351:4,0.61
Mactra,quadrangularis,35.25,126.75,1312:456:2,0.66
Mactra,quadrangularis,35.75,126.75,1312:456:4,0.64
Mactra,quadrangularis,36.25,129.25,1312:469:1,0.71
Mactra,quadrangularis,31.75,130.75,1313:110:4,0.63
Mactra,quadrangularis,34.25,130.75,1313:140:2,0.61
Mactra,quadrangularis,34.75,140.25,1314:140:3,0.75
Mactra,quadrangularis,35.25,140.75,1314:350:2,0.78
Mactra,quadrangularis,38.75,141.75,1314:381:4,0.67
Mactra,quadrangularis,42.75,141.25,1414:121:3,0.65
Mactra,quadrangularis,43.25,141.25,1414:131:1,0.73
Mactra,quadrangularis,23.75,117.25,1211:237:3,0.83
Mactra,quadrangularis,23.75,117.75,1211:237:4,0.89
Mactra,quadrangularis,23.75,118.25,1211:238:3,0.85
Mactra,quadrangularis,24.25,117.75,1211:247:2,0.90
Mactra,quadrangularis,24.25,118.25,1211:248:1,0.96
Mactra,quadrangularis,24.25,118.75,1211:248:2,0.86
Mactra,quadrangularis,24.75,118.25,1211:248:3,0.98
Mactra,quadrangularis,24.75,118.75,1211:248:4,1.00
Mactra,quadrangularis,24.75,119.25,1211:249:3,0.87
Mactra,quadrangularis,25.25,118.75,1211:458:2,0.86
Mactra,quadrangularis,25.25,119.75,1211:459:2,1.00
Mactra,quadrangularis,25.25,120.25,1212:350:1,0.83
Mactra,quadrangularis,25.75,120.25,1212:350:3,1.00
Mactra,quadrangularis,26.25,120.25,1212:360:1,1.00
Mactra,quadrangularis,26.25,120.75,1212:360:2,0.92
Mactra,quadrangularis,26.75,120.75,1212:360:4,1.00
Mactra,quadrangularis,27.25,121.25,1212:371:1,1.00
Mactra,quadrangularis,27.75,121.75,1212:371:4,1.00
Mactra,quadrangularis,28.25,122.25,1212:382:1,1.00
Mactra,quadrangularis,28.75,122.75,1212:382:4,1.00
Mactra,quadrangularis,29.25,122.75,1212:392:2,1.00
Mactra,quadrangularis,29.75,122.75,1212:392:4,0.90
Mactra,quadrangularis,30.25,123.25,1312:103:1,1.00
Mactra,quadrangularis,30.75,123.25,1312:103:3,1.00
Mactra,quadrangularis,34.75,127.25,1312:247:3,0.86
Mactra,quadrangularis,34.75,127.75,1312:247:4,0.87
Mactra,quadrangularis,34.75,128.75,1312:248:4,1.00
Mactra,quadrangularis,35.25,127.75,1312:457:2,0.94
Mactra,quadrangularis,35.25,128.25,1312:458:1,1.00
Mactra,quadrangularis,35.25,128.75,1312:458:2,1.00
Mactra,quadrangularis,35.25,129.25,1312:459:1,1.00
Mactra,quadrangularis,35.75,129.25,1312:459:3,1.00
Mactra,quadrangularis,38.75,127.75,1312:487:4,1.00
Mactra,quadrangularis,38.25,128.25,1312:488:1,1.00
Mactra,quadrangularis,39.25,127.25,1312:497:1,0.92
Mactra,quadrangularis,39.75,127.75,1312:497:4,0.80
Mactra,quadrangularis,32.25,130.25,1313:120:1,1.00
Mactra,quadrangularis,32.25,130.75,1313:120:2,1.00
Mactra,quadrangularis,32.75,130.25,1313:120:3,1.00
Mactra,quadrangularis,32.75,130.75,1313:120:4,1.00
Mactra,quadrangularis,32.75,131.75,1313:121:4,0.85
