Mapping parameters for Epinephelus lanceolatus (Giant grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,29,-39,24,-122

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Epinephelus,lanceolatus,-1.75,116.25,3011:216:3,0.13
Epinephelus,lanceolatus,-2.75,113.25,3011:123:3,0.03
Epinephelus,lanceolatus,-4.75,102.25,3010:142:3,0.07
Epinephelus,lanceolatus,-1.75,40.75,3004:110:4,0.05
Epinephelus,lanceolatus,-0.25,42.25,3004:102:1,0.05
Epinephelus,lanceolatus,-0.75,41.75,3004:101:4,0.05
Epinephelus,lanceolatus,-5.25,38.75,3003:458:2,0.10
Epinephelus,lanceolatus,-4.25,39.25,3003:249:1,0.14
Epinephelus,lanceolatus,28.75,127.25,1212:487:3,0.14
Epinephelus,lanceolatus,25.75,126.75,1212:456:4,0.18
Epinephelus,lanceolatus,28.25,121.75,1212:381:2,0.05
Epinephelus,lanceolatus,25.75,119.25,1211:459:3,0.18
Epinephelus,lanceolatus,22.75,114.75,1211:124:4,0.09
Epinephelus,lanceolatus,22.75,114.25,1211:124:3,0.06
Epinephelus,lanceolatus,22.75,113.75,1211:123:4,0.10
Epinephelus,lanceolatus,21.75,113.75,1211:113:4,0.16
Epinephelus,lanceolatus,21.75,113.25,1211:113:3,0.18
Epinephelus,lanceolatus,21.25,107.25,1210:217:1,0.05
Epinephelus,lanceolatus,20.25,91.75,1209:101:2,0.02
Epinephelus,lanceolatus,20.75,89.75,1208:209:4,0.06
Epinephelus,lanceolatus,20.75,89.25,1208:209:3,0.04
Epinephelus,lanceolatus,20.25,89.25,1208:209:1,0.17
Epinephelus,lanceolatus,20.75,88.75,1208:208:4,0.06
Epinephelus,lanceolatus,20.75,88.25,1208:208:3,0.07
Epinephelus,lanceolatus,20.75,87.75,1208:207:4,0.12
Epinephelus,lanceolatus,20.25,87.25,1208:207:1,0.17
Epinephelus,lanceolatus,20.25,86.75,1208:206:2,0.04
Epinephelus,lanceolatus,22.25,69.75,1206:229:2,0.14
Epinephelus,lanceolatus,22.25,67.25,1206:227:1,0.13
Epinephelus,lanceolatus,25.25,57.25,1205:457:1,0.14
Epinephelus,lanceolatus,25.75,55.75,1205:455:4,0.08
Epinephelus,lanceolatus,25.75,55.25,1205:455:3,0.08
Epinephelus,lanceolatus,25.25,55.75,1205:455:2,0.07
Epinephelus,lanceolatus,25.25,55.25,1205:455:1,0.14
Epinephelus,lanceolatus,28.75,51.25,1205:381:3,0.19
Epinephelus,lanceolatus,28.25,51.25,1205:381:1,0.06
Epinephelus,lanceolatus,28.75,50.75,1205:380:4,0.02
Epinephelus,lanceolatus,28.75,50.25,1205:380:3,0.03
Epinephelus,lanceolatus,28.25,50.75,1205:380:2,0.06
Epinephelus,lanceolatus,28.25,50.25,1205:380:1,0.05
Epinephelus,lanceolatus,27.75,52.25,1205:372:3,0.18
Epinephelus,lanceolatus,27.25,52.25,1205:372:1,0.18
Epinephelus,lanceolatus,27.75,51.75,1205:371:4,0.09
Epinephelus,lanceolatus,27.75,51.25,1205:371:3,0.09
Epinephelus,lanceolatus,27.25,51.75,1205:371:2,0.15
Epinephelus,lanceolatus,27.25,51.25,1205:371:1,0.13
Epinephelus,lanceolatus,27.75,50.75,1205:370:4,0.09
Epinephelus,lanceolatus,27.75,50.25,1205:370:3,0.07
Epinephelus,lanceolatus,27.25,50.75,1205:370:2,0.15
Epinephelus,lanceolatus,26.25,53.25,1205:363:1,0.19
Epinephelus,lanceolatus,26.75,52.25,1205:362:3,0.19
Epinephelus,lanceolatus,26.25,52.75,1205:362:2,0.17
Epinephelus,lanceolatus,26.25,52.25,1205:362:1,0.16
Epinephelus,lanceolatus,26.75,51.75,1205:361:4,0.15
Epinephelus,lanceolatus,26.75,51.25,1205:361:3,0.16
Epinephelus,lanceolatus,26.25,51.75,1205:361:2,0.19
Epinephelus,lanceolatus,25.75,54.75,1205:354:4,0.12
Epinephelus,lanceolatus,25.75,54.25,1205:354:3,0.15
Epinephelus,lanceolatus,25.25,54.75,1205:354:2,0.02
Epinephelus,lanceolatus,25.25,54.25,1205:354:1,0.09
Epinephelus,lanceolatus,25.75,53.75,1205:353:4,0.15
Epinephelus,lanceolatus,25.75,53.25,1205:353:3,0.15
Epinephelus,lanceolatus,25.25,53.75,1205:353:2,0.11
Epinephelus,lanceolatus,25.25,53.25,1205:353:1,0.11
Epinephelus,lanceolatus,25.75,52.75,1205:352:4,0.15
Epinephelus,lanceolatus,25.75,52.25,1205:352:3,0.16
Epinephelus,lanceolatus,25.25,52.75,1205:352:2,0.12
Epinephelus,lanceolatus,25.25,52.25,1205:352:1,0.15
Epinephelus,lanceolatus,25.75,51.25,1205:351:3,0.05
Epinephelus,lanceolatus,24.75,54.75,1205:144:4,0.13
Epinephelus,lanceolatus,24.75,54.25,1205:144:3,0.03
Epinephelus,lanceolatus,24.25,54.25,1205:144:1,0.14
Epinephelus,lanceolatus,24.75,53.75,1205:143:4,0.05
Epinephelus,lanceolatus,24.75,53.25,1205:143:3,0.08
Epinephelus,lanceolatus,24.25,53.75,1205:143:2,0.11
Epinephelus,lanceolatus,24.25,53.25,1205:143:1,0.10
Epinephelus,lanceolatus,24.75,52.75,1205:142:4,0.11
Epinephelus,lanceolatus,24.75,52.25,1205:142:3,0.17
Epinephelus,lanceolatus,24.25,52.75,1205:142:2,0.17
Epinephelus,lanceolatus,28.75,49.75,1204:489:4,0.02
Epinephelus,lanceolatus,28.75,49.25,1204:489:3,0.10
Epinephelus,lanceolatus,28.25,49.75,1204:489:2,0.05
Epinephelus,lanceolatus,27.75,49.75,1204:479:4,0.16
Epinephelus,lanceolatus,28.25,35.25,1203:485:1,0.08
Epinephelus,lanceolatus,27.75,35.75,1203:475:4,0.14
Epinephelus,lanceolatus,27.75,35.25,1203:475:3,0.08
Epinephelus,lanceolatus,27.25,35.75,1203:475:2,0.12
Epinephelus,lanceolatus,27.25,35.25,1203:475:1,0.04
Epinephelus,lanceolatus,26.75,36.25,1203:466:3,0.19
Epinephelus,lanceolatus,26.25,36.75,1203:466:2,0.12
Epinephelus,lanceolatus,26.75,35.75,1203:465:4,0.14
Epinephelus,lanceolatus,25.75,36.25,1203:456:3,0.19
Epinephelus,lanceolatus,25.25,35.25,1203:455:1,0.13
Epinephelus,lanceolatus,28.75,34.75,1203:384:4,0.05
Epinephelus,lanceolatus,28.25,34.75,1203:384:2,0.06
Epinephelus,lanceolatus,27.75,34.75,1203:374:4,0.07
Epinephelus,lanceolatus,27.75,34.25,1203:374:3,0.05
Epinephelus,lanceolatus,27.25,34.25,1203:374:1,0.06
Epinephelus,lanceolatus,27.25,33.75,1203:373:2,0.04
Epinephelus,lanceolatus,26.75,34.25,1203:364:3,0.07
Epinephelus,lanceolatus,26.25,34.25,1203:364:1,0.08
Epinephelus,lanceolatus,26.75,33.75,1203:363:4,0.05
Epinephelus,lanceolatus,25.75,34.75,1203:354:4,0.10
Epinephelus,lanceolatus,25.75,34.25,1203:354:3,0.12
Epinephelus,lanceolatus,25.25,34.75,1203:354:2,0.11
Epinephelus,lanceolatus,24.75,35.75,1203:245:4,0.01
Epinephelus,lanceolatus,24.75,35.25,1203:245:3,0.15
Epinephelus,lanceolatus,23.75,35.25,1203:235:3,0.01
Epinephelus,lanceolatus,24.75,34.75,1203:144:4,0.10
Epinephelus,lanceolatus,10.25,170.75,1117:100:2,0.14
Epinephelus,lanceolatus,11.75,166.75,1116:216:4,0.10
Epinephelus,lanceolatus,12.75,144.25,1114:124:3,0.07
Epinephelus,lanceolatus,14.75,121.25,1112:141:3,0.13
Epinephelus,lanceolatus,12.75,121.25,1112:121:3,0.05
Epinephelus,lanceolatus,16.75,119.75,1111:469:4,0.07
Epinephelus,lanceolatus,11.25,115.25,1111:215:1,0.06
Epinephelus,lanceolatus,19.75,109.75,1110:499:4,0.10
Epinephelus,lanceolatus,18.25,105.75,1110:485:2,0.05
Epinephelus,lanceolatus,10.75,107.25,1110:207:3,0.13
Epinephelus,lanceolatus,10.25,107.25,1110:207:1,0.09
Epinephelus,lanceolatus,12.75,102.25,1110:122:3,0.19
Epinephelus,lanceolatus,12.25,102.25,1110:122:1,0.15
Epinephelus,lanceolatus,12.75,101.75,1110:121:4,0.17
Epinephelus,lanceolatus,12.25,100.25,1110:120:1,0.17
Epinephelus,lanceolatus,15.25,95.75,1109:455:2,0.18
Epinephelus,lanceolatus,15.25,95.25,1109:455:1,0.03
Epinephelus,lanceolatus,19.75,91.75,1109:391:4,0.17
Epinephelus,lanceolatus,18.25,94.75,1109:384:2,0.18
Epinephelus,lanceolatus,15.75,94.25,1109:354:3,0.04
Epinephelus,lanceolatus,15.25,94.75,1109:354:2,0.15
Epinephelus,lanceolatus,14.75,97.75,1109:247:4,0.18
Epinephelus,lanceolatus,13.25,98.75,1109:238:2,0.08
Epinephelus,lanceolatus,12.25,99.75,1109:229:2,0.03
Epinephelus,lanceolatus,11.25,96.75,1109:216:2,0.14
Epinephelus,lanceolatus,10.25,96.75,1109:206:2,0.18
Epinephelus,lanceolatus,13.75,94.25,1109:134:3,0.16
Epinephelus,lanceolatus,11.75,74.25,1107:114:3,0.12
Epinephelus,lanceolatus,14.75,51.25,1105:141:3,0.16
Epinephelus,lanceolatus,18.25,40.25,1104:380:1,0.03
Epinephelus,lanceolatus,13.25,47.25,1104:237:1,0.01
Epinephelus,lanceolatus,14.75,43.25,1104:143:3,0.03
Epinephelus,lanceolatus,11.25,43.25,1104:113:1,0.04
Epinephelus,lanceolatus,19.75,38.25,1103:498:3,0.10
Epinephelus,lanceolatus,7.75,148.25,1014:478:3,0.14
Epinephelus,lanceolatus,7.75,147.25,1014:477:3,0.17
Epinephelus,lanceolatus,6.75,125.75,1012:465:4,0.19
Epinephelus,lanceolatus,9.25,120.25,1012:390:1,0.15
