Mapping parameters for Seriola rivoliana (Longfin yellowtail)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,43,-38,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Seriola,rivoliana,-35.75,-54.75,5305:354:4,0.05
Seriola,rivoliana,-35.75,-54.25,5305:354:3,0.11
Seriola,rivoliana,-35.25,-54.75,5305:354:2,0.04
Seriola,rivoliana,-35.25,-54.25,5305:354:1,0.08
Seriola,rivoliana,-35.25,-53.75,5305:353:2,0.18
Seriola,rivoliana,-34.75,-55.75,5305:245:4,0.01
Seriola,rivoliana,-34.75,-55.25,5305:245:3,0.01
Seriola,rivoliana,-34.75,-54.75,5305:144:4,0.09
Seriola,rivoliana,-34.75,-54.25,5305:144:3,0.04
Seriola,rivoliana,-34.75,-53.75,5305:143:4,0.13
Seriola,rivoliana,-34.75,-53.25,5305:143:3,0.19
Seriola,rivoliana,-34.25,-53.75,5305:143:2,0.09
Seriola,rivoliana,-34.25,-53.25,5305:143:1,0.12
Seriola,rivoliana,-33.75,-53.25,5305:133:3,0.09
Seriola,rivoliana,-33.25,-53.25,5305:133:1,0.19
Seriola,rivoliana,-33.75,-52.75,5305:132:4,0.10
Seriola,rivoliana,-33.75,-52.25,5305:132:3,0.16
Seriola,rivoliana,-33.25,-52.75,5305:132:2,0.18
Seriola,rivoliana,-33.25,-52.25,5305:132:1,0.09
Seriola,rivoliana,-33.25,-51.75,5305:131:2,0.18
Seriola,rivoliana,-31.75,-50.75,5305:110:4,0.11
Seriola,rivoliana,-31.75,-50.25,5305:110:3,0.11
Seriola,rivoliana,-31.25,-50.75,5305:110:2,0.09
Seriola,rivoliana,-31.25,-50.25,5305:110:1,0.11
Seriola,rivoliana,-30.75,-50.75,5305:100:4,0.10
Seriola,rivoliana,-32.75,-2.75,5300:122:4,0.06
Seriola,rivoliana,-29.25,-178.25,5217:498:1,0.01
Seriola,rivoliana,-23.25,-176.25,5217:236:1,0.19
Seriola,rivoliana,-22.25,-176.25,5217:226:1,0.11
Seriola,rivoliana,-21.75,-175.25,5217:215:3,0.02
Seriola,rivoliana,-27.25,-146.25,5214:476:1,0.11
Seriola,rivoliana,-22.25,-136.25,5213:226:1,0.17
Seriola,rivoliana,-26.25,-102.75,5210:362:2,0.17
Seriola,rivoliana,-25.75,-98.75,5209:458:4,0.04
Seriola,rivoliana,-25.25,-97.25,5209:457:1,0.19
Seriola,rivoliana,-25.75,-94.75,5209:354:4,0.10
Seriola,rivoliana,-25.25,-91.25,5209:351:1,0.09
Seriola,rivoliana,-25.75,-82.75,5208:352:4,0.09
Seriola,rivoliana,-25.75,-82.25,5208:352:3,0.16
Seriola,rivoliana,-22.25,-81.25,5208:121:1,0.16
Seriola,rivoliana,-22.75,-70.75,5207:120:4,0.03
Seriola,rivoliana,-24.75,-44.75,5204:144:4,0.19
Seriola,rivoliana,-24.75,-44.25,5204:144:3,0.17
Seriola,rivoliana,-22.75,-44.25,5204:124:3,0.03
Seriola,rivoliana,-22.25,-39.75,5203:229:2,0.18
Seriola,rivoliana,-21.75,-39.75,5203:219:4,0.03
Seriola,rivoliana,-20.25,-29.25,5202:209:1,0.19
Seriola,rivoliana,-20.25,-28.75,5202:208:2,0.07
Seriola,rivoliana,-16.75,-173.75,5117:363:4,0.06
Seriola,rivoliana,-12.75,-176.75,5117:226:4,0.04
Seriola,rivoliana,-12.25,-176.75,5117:226:2,0.12
Seriola,rivoliana,-14.75,-170.75,5117:140:4,0.16
Seriola,rivoliana,-14.75,-170.25,5117:140:3,0.02
Seriola,rivoliana,-19.75,-167.75,5116:497:4,0.07
Seriola,rivoliana,-15.25,-75.75,5107:455:2,0.19
Seriola,rivoliana,-15.75,-73.75,5107:353:4,0.14
Seriola,rivoliana,-13.75,-76.75,5107:236:4,0.15
Seriola,rivoliana,-13.25,-76.25,5107:236:1,0.19
Seriola,rivoliana,-12.75,-77.25,5107:227:3,0.19
Seriola,rivoliana,-10.25,-79.25,5107:209:1,0.09
Seriola,rivoliana,-16.25,-39.25,5103:469:1,0.08
Seriola,rivoliana,-7.75,-139.75,5013:479:4,0.03
Seriola,rivoliana,-5.25,-81.25,5008:351:1,0.09
Seriola,rivoliana,-1.25,-89.25,5008:219:1,0.08
Seriola,rivoliana,-0.75,-88.75,5008:208:4,0.03
Seriola,rivoliana,-1.25,-46.25,5004:216:1,0.02
Seriola,rivoliana,-1.25,-45.75,5004:215:2,0.18
Seriola,rivoliana,-0.75,-47.25,5004:207:3,0.09
Seriola,rivoliana,-0.25,-47.25,5004:207:1,0.14
Seriola,rivoliana,-1.75,-42.25,5004:112:3,0.07
Seriola,rivoliana,-1.75,-40.75,5004:110:4,0.17
Seriola,rivoliana,-6.25,-35.25,5003:465:1,0.09
Seriola,rivoliana,-4.75,-37.75,5003:247:4,0.10
Seriola,rivoliana,-37.75,179.25,3317:479:3,0.12
Seriola,rivoliana,-35.75,176.25,3317:456:3,0.11
Seriola,rivoliana,-35.25,175.25,3317:455:1,0.01
Seriola,rivoliana,-30.25,167.75,3316:207:2,0.01
Seriola,rivoliana,-32.75,156.25,3315:226:3,0.05
Seriola,rivoliana,-33.25,151.25,3315:131:1,0.03
Seriola,rivoliana,-36.75,138.25,3313:468:3,0.16
Seriola,rivoliana,-36.75,137.75,3313:467:4,0.11
Seriola,rivoliana,-36.25,135.75,3313:465:2,0.18
Seriola,rivoliana,-35.25,137.75,3313:457:2,0.15
Seriola,rivoliana,-35.75,136.25,3313:456:3,0.16
Seriola,rivoliana,-34.25,137.25,3313:247:1,0.16
Seriola,rivoliana,-34.25,136.75,3313:246:2,0.05
Seriola,rivoliana,-33.75,137.25,3313:237:3,0.16
Seriola,rivoliana,-35.25,115.25,3311:455:1,0.14
Seriola,rivoliana,-32.25,114.75,3311:124:2,0.03
Seriola,rivoliana,-36.25,22.25,3302:362:1,0.01
Seriola,rivoliana,-35.75,22.75,3302:352:4,0.01
Seriola,rivoliana,-36.25,19.75,3301:469:2,0.15
Seriola,rivoliana,-35.75,19.25,3301:459:3,0.11
Seriola,rivoliana,-35.25,18.75,3301:458:2,0.18
Seriola,rivoliana,-34.25,19.25,3301:249:1,0.19
Seriola,rivoliana,-34.75,18.25,3301:248:3,0.12
Seriola,rivoliana,-34.25,18.75,3301:248:2,0.14
Seriola,rivoliana,-34.25,17.75,3301:247:2,0.04
Seriola,rivoliana,-33.75,18.25,3301:238:3,0.11
Seriola,rivoliana,-33.75,17.75,3301:237:4,0.15
Seriola,rivoliana,-33.25,17.75,3301:237:2,0.17
Seriola,rivoliana,-32.75,17.75,3301:227:4,0.07
Seriola,rivoliana,-32.25,17.75,3301:227:2,0.04
Seriola,rivoliana,-32.25,17.25,3301:227:1,0.07
Seriola,rivoliana,-31.25,18.25,3301:218:1,0.15
Seriola,rivoliana,-31.75,17.75,3301:217:4,0.03
Seriola,rivoliana,-31.75,17.25,3301:217:3,0.08
Seriola,rivoliana,-31.25,17.25,3301:217:1,0.08
Seriola,rivoliana,-31.25,16.75,3301:216:2,0.03
Seriola,rivoliana,-30.75,17.25,3301:207:3,0.04
Seriola,rivoliana,-30.75,16.75,3301:206:4,0.10
Seriola,rivoliana,-30.25,16.75,3301:206:2,0.05
Seriola,rivoliana,-30.25,16.25,3301:206:1,0.08
Seriola,rivoliana,-30.25,15.75,3301:205:2,0.07
Seriola,rivoliana,-30.25,15.25,3301:205:1,0.05
Seriola,rivoliana,-24.75,168.25,3216:248:3,0.18
Seriola,rivoliana,-20.25,160.25,3216:100:1,0.12
Seriola,rivoliana,-28.25,153.25,3215:383:1,0.04
Seriola,rivoliana,-24.75,159.25,3215:249:3,0.17
Seriola,rivoliana,-22.75,159.25,3215:229:3,0.01
Seriola,rivoliana,-21.25,159.75,3215:219:2,0.19
Seriola,rivoliana,-21.25,159.25,3215:219:1,0.03
Seriola,rivoliana,-20.75,158.75,3215:208:4,0.17
Seriola,rivoliana,-23.25,152.75,3215:132:2,0.15
Seriola,rivoliana,-22.75,153.75,3215:123:4,0.02
Seriola,rivoliana,-21.25,151.25,3215:111:1,0.11
Seriola,rivoliana,-20.25,149.25,3214:209:1,0.13
Seriola,rivoliana,-29.25,115.25,3211:495:1,0.07
Seriola,rivoliana,-24.25,47.25,3204:247:1,0.07
Seriola,rivoliana,-29.75,30.75,3203:390:4,0.15
Seriola,rivoliana,-28.75,32.75,3203:382:4,0.17
Seriola,rivoliana,-25.75,34.25,3203:354:3,0.16
Seriola,rivoliana,-25.75,33.75,3203:353:4,0.06
Seriola,rivoliana,-21.75,39.75,3203:219:4,0.13
Seriola,rivoliana,-20.75,34.75,3203:104:4,0.12
Seriola,rivoliana,-29.75,16.25,3201:496:3,0.02
Seriola,rivoliana,-29.75,15.75,3201:495:4,0.09
