Mapping parameters for Crassostrea virginica (American cupped oyster)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  31 |  37 |  41,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Crassostrea,virginica,31.75,20.25,1302:110:3,0.09
Crassostrea,virginica,32.25,20.25,1302:120:1,0.03
Crassostrea,virginica,35.75,23.25,1302:353:3,0.09
Crassostrea,virginica,35.75,23.75,1302:353:4,0.04
Crassostrea,virginica,35.75,24.25,1302:354:3,0.03
Crassostrea,virginica,36.75,21.75,1302:361:4,0.15
Crassostrea,virginica,36.25,22.25,1302:362:1,0.10
Crassostrea,virginica,36.25,22.75,1302:362:2,0.17
Crassostrea,virginica,36.75,24.25,1302:364:3,0.17
Crassostrea,virginica,36.75,24.75,1302:364:4,0.09
Crassostrea,virginica,37.25,21.25,1302:371:1,0.03
Crassostrea,virginica,37.75,21.25,1302:371:3,0.01
Crassostrea,virginica,37.25,24.75,1302:374:2,0.15
Crassostrea,virginica,39.75,20.25,1302:390:3,0.18
Crassostrea,virginica,39.75,24.75,1302:394:4,0.11
Crassostrea,virginica,36.75,25.25,1302:465:3,0.01
Crassostrea,virginica,37.25,25.25,1302:475:1,0.05
Crassostrea,virginica,37.75,25.25,1302:475:3,0.15
Crassostrea,virginica,37.75,25.75,1302:475:4,0.01
Crassostrea,virginica,37.25,28.25,1302:478:1,0.17
Crassostrea,virginica,38.25,25.75,1302:485:2,0.18
Crassostrea,virginica,38.75,26.25,1302:486:3,0.17
Crassostrea,virginica,31.75,30.75,1303:110:4,0.05
Crassostrea,virginica,31.25,31.75,1303:111:2,0.08
Crassostrea,virginica,31.75,31.25,1303:111:3,0.18
Crassostrea,virginica,31.25,32.25,1303:112:1,0.15
Crassostrea,virginica,31.75,32.25,1303:112:3,0.04
Crassostrea,virginica,31.25,33.25,1303:113:1,0.15
Crassostrea,virginica,31.25,33.75,1303:113:2,0.13
Crassostrea,virginica,31.25,34.25,1303:114:1,0.10
Crassostrea,virginica,31.75,34.25,1303:114:3,0.19
Crassostrea,virginica,34.75,36.25,1303:246:3,0.19
Crassostrea,virginica,36.75,31.75,1303:361:4,0.04
Crassostrea,virginica,36.75,32.25,1303:362:3,0.18
