Mapping parameters for Mimachlamys varia (variegated scallop)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,69,15,-25,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Mimachlamys,varia,54.75,19.25,1501:249:3,0.07
Mimachlamys,varia,54.75,19.75,1501:249:4,0.06
Mimachlamys,varia,55.25,12.75,1501:352:2,0.09
Mimachlamys,varia,55.25,13.25,1501:353:1,0.08
Mimachlamys,varia,55.25,13.75,1501:353:2,0.06
Mimachlamys,varia,55.25,14.25,1501:354:1,0.07
Mimachlamys,varia,55.25,14.75,1501:354:2,0.06
Mimachlamys,varia,55.75,14.25,1501:354:3,0.06
Mimachlamys,varia,55.75,14.75,1501:354:4,0.06
Mimachlamys,varia,56.25,14.25,1501:364:1,0.02
Mimachlamys,varia,56.25,14.75,1501:364:2,0.13
Mimachlamys,varia,55.25,15.25,1501:455:1,0.05
Mimachlamys,varia,55.25,15.75,1501:455:2,0.05
Mimachlamys,varia,55.75,15.25,1501:455:3,0.06
Mimachlamys,varia,55.75,15.75,1501:455:4,0.06
Mimachlamys,varia,55.25,16.25,1501:456:1,0.07
Mimachlamys,varia,55.25,16.75,1501:456:2,0.07
Mimachlamys,varia,55.75,16.25,1501:456:3,0.06
Mimachlamys,varia,55.75,16.75,1501:456:4,0.06
Mimachlamys,varia,55.25,17.25,1501:457:1,0.07
Mimachlamys,varia,55.25,17.75,1501:457:2,0.07
Mimachlamys,varia,55.75,17.25,1501:457:3,0.06
Mimachlamys,varia,55.75,17.75,1501:457:4,0.06
Mimachlamys,varia,55.25,18.25,1501:458:1,0.07
Mimachlamys,varia,55.25,18.75,1501:458:2,0.07
Mimachlamys,varia,55.75,18.25,1501:458:3,0.06
Mimachlamys,varia,55.75,18.75,1501:458:4,0.07
Mimachlamys,varia,55.25,19.25,1501:459:1,0.07
Mimachlamys,varia,55.25,19.75,1501:459:2,0.07
Mimachlamys,varia,55.75,19.25,1501:459:3,0.07
Mimachlamys,varia,55.75,19.75,1501:459:4,0.07
Mimachlamys,varia,56.25,15.25,1501:465:1,0.08
Mimachlamys,varia,56.25,15.75,1501:465:2,0.06
Mimachlamys,varia,56.25,16.25,1501:466:1,0.05
Mimachlamys,varia,56.25,16.75,1501:466:2,0.05
Mimachlamys,varia,56.75,16.25,1501:466:3,0.05
Mimachlamys,varia,56.75,16.75,1501:466:4,0.05
Mimachlamys,varia,56.25,17.25,1501:467:1,0.05
Mimachlamys,varia,56.25,17.75,1501:467:2,0.05
Mimachlamys,varia,56.75,17.25,1501:467:3,0.05
Mimachlamys,varia,56.75,17.75,1501:467:4,0.05
Mimachlamys,varia,56.25,18.25,1501:468:1,0.05
Mimachlamys,varia,56.25,18.75,1501:468:2,0.05
Mimachlamys,varia,56.75,18.25,1501:468:3,0.05
Mimachlamys,varia,56.75,18.75,1501:468:4,0.04
Mimachlamys,varia,56.25,19.25,1501:469:1,0.06
Mimachlamys,varia,56.25,19.75,1501:469:2,0.06
Mimachlamys,varia,56.75,19.25,1501:469:3,0.03
Mimachlamys,varia,56.75,19.75,1501:469:4,0.05
Mimachlamys,varia,57.25,16.25,1501:476:1,0.01
Mimachlamys,varia,57.25,16.75,1501:476:2,0.05
Mimachlamys,varia,57.75,16.75,1501:476:4,0.04
Mimachlamys,varia,57.25,17.25,1501:477:1,0.05
Mimachlamys,varia,57.25,17.75,1501:477:2,0.05
Mimachlamys,varia,57.75,17.25,1501:477:3,0.04
Mimachlamys,varia,57.75,17.75,1501:477:4,0.04
Mimachlamys,varia,57.25,18.25,1501:478:1,0.05
Mimachlamys,varia,57.25,18.75,1501:478:2,0.03
Mimachlamys,varia,57.75,18.25,1501:478:3,0.04
Mimachlamys,varia,57.75,18.75,1501:478:4,0.04
Mimachlamys,varia,57.25,19.25,1501:479:1,0.03
Mimachlamys,varia,57.25,19.75,1501:479:2,0.04
Mimachlamys,varia,57.75,19.25,1501:479:3,0.03
Mimachlamys,varia,57.75,19.75,1501:479:4,0.03
Mimachlamys,varia,58.25,16.75,1501:486:2,0.02
Mimachlamys,varia,58.75,16.75,1501:486:4,0.02
Mimachlamys,varia,58.25,17.25,1501:487:1,0.04
Mimachlamys,varia,58.25,17.75,1501:487:2,0.04
Mimachlamys,varia,58.75,17.25,1501:487:3,0.03
Mimachlamys,varia,58.75,17.75,1501:487:4,0.03
Mimachlamys,varia,58.25,18.25,1501:488:1,0.04
Mimachlamys,varia,58.25,18.75,1501:488:2,0.04
Mimachlamys,varia,58.75,18.25,1501:488:3,0.03
Mimachlamys,varia,58.75,18.75,1501:488:4,0.03
Mimachlamys,varia,58.25,19.25,1501:489:1,0.04
Mimachlamys,varia,58.25,19.75,1501:489:2,0.04
