Mapping parameters for Coregonus lavaretus (European whitefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  37,
Bounding Box (NSWE): ,73,40,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,1.18,6.22,10.76,18.53
Salinity (psu),1,3.56,5.63,34.97,38.07
Primary Production,1,448,658,2006,2507.5
Sea Ice Concentration,1,-0.95,0.01,0.109999999403954,0.33
Distance to Land (km),0,0,1,57,291
 

Map data (HSPEC) for predicted occurrences (n = 1453): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Coregonus,lavaretus,66.75,43.25,1604:363:3,0.02,,,,,,
Coregonus,lavaretus,67.25,41.25,1604:371:1,0.10,,,,,,
Coregonus,lavaretus,67.25,41.75,1604:371:2,0.10,,,,,,
Coregonus,lavaretus,67.75,41.25,1604:371:3,0.09,,,,,,
Coregonus,lavaretus,67.75,41.75,1604:371:4,0.01,,,,,,
Coregonus,lavaretus,67.25,42.25,1604:372:1,0.06,,,,,,
Coregonus,lavaretus,67.25,42.75,1604:372:2,0.04,,,,,,
Coregonus,lavaretus,67.75,42.25,1604:372:3,0.01,,,,,,
Coregonus,lavaretus,67.75,42.75,1604:372:4,0.04,,,,,,
Coregonus,lavaretus,67.25,43.25,1604:373:1,0.03,,,,,,
Coregonus,lavaretus,67.25,43.75,1604:373:2,0.01,,,,,,
Coregonus,lavaretus,67.75,43.25,1604:373:3,0.03,,,,,,
Coregonus,lavaretus,67.75,43.75,1604:373:4,0.03,,,,,,
Coregonus,lavaretus,67.25,44.25,1604:374:1,0.01,,,,,,
Coregonus,lavaretus,67.75,44.25,1604:374:3,0.01,,,,,,
Coregonus,lavaretus,68.25,40.75,1604:380:2,0.02,,,,,,
Coregonus,lavaretus,68.25,41.25,1604:381:1,0.01,,,,,,
Coregonus,lavaretus,68.25,41.75,1604:381:2,0.01,,,,,,
Coregonus,lavaretus,68.25,42.25,1604:382:1,0.02,,,,,,
Coregonus,lavaretus,68.25,42.75,1604:382:2,0.04,,,,,,
Coregonus,lavaretus,68.75,42.75,1604:382:4,0.02,,,,,,
Coregonus,lavaretus,68.25,43.25,1604:383:1,0.06,,,,,,
Coregonus,lavaretus,68.25,43.75,1604:383:2,0.07,,,,,,
Coregonus,lavaretus,68.75,43.25,1604:383:3,0.10,,,,,,
Coregonus,lavaretus,68.75,43.75,1604:383:4,0.10,,,,,,
Coregonus,lavaretus,68.25,44.25,1604:384:1,0.05,,,,,,
Coregonus,lavaretus,68.75,44.25,1604:384:3,0.08,,,,,,
Coregonus,lavaretus,68.75,44.75,1604:384:4,0.09,,,,,,
Coregonus,lavaretus,69.25,43.25,1604:393:1,0.13,,,,,,
Coregonus,lavaretus,69.25,43.75,1604:393:2,0.01,,,,,,
Coregonus,lavaretus,69.75,43.25,1604:393:3,0.01,,,,,,
Coregonus,lavaretus,67.75,45.25,1604:475:3,0.01,,,,,,
Coregonus,lavaretus,67.75,45.75,1604:475:4,0.01,,,,,,
Coregonus,lavaretus,68.25,45.75,1604:485:2,0.04,,,,,,
Coregonus,lavaretus,68.75,45.25,1604:485:3,0.06,,,,,,
Coregonus,lavaretus,68.75,45.75,1604:485:4,0.05,,,,,,
